Location_Name,Location_Type,District,Circle,Fatal_2019,Fatal_2020,Fatal_2021,Injury_Simple_2019,Injury_Simple_2020,Injury_Simple_2021,Non_Injury_2019,Non_Injury_2020,Non_Injury_2021,Total_2019,Total_2020,Total_2021,Persons_Killed,Persons_Injured,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Data_Source_Table
Kalyan Puri,Circle,,Kalyan Puri,57,33,43,99,91,121,2,0,0,158,124,164,,,,,,,TABLE_6.4
Kapashera,Circle,,Kapashera,29,23,25,66,37,50,0,0,0,95,60,75,,,,,,,TABLE_6.4
Lajpat Nagar,Circle,,Lajpat Nagar,33,20,20,73,67,68,1,1,2,107,88,90,,,,,,,TABLE_6.4
Mehrauli,Circle,,Mehrauli,21,17,27,77,55,57,0,0,0,98,72,84,,,,,,,TABLE_6.4
Model Town,Circle,,Model Town,41,40,29,109,91,94,1,0,0,151,131,123,,,,,,,TABLE_6.4
Maya Puri,Circle,,Maya Puri,19,29,27,55,39,47,3,0,1,77,68,75,,,,,,,TABLE_6.4
Mandawali,Circle,,Mandawali,31,14,11,81,73,64,3,0,0,115,88,75,,,,,,,TABLE_6.4
Mangol Puri,Circle,,Mangol Puri,58,67,49,188,163,152,1,1,0,247,231,201,,,,,,,TABLE_6.4
Najafgarh,Circle,,Najafgarh,50,44,58,106,106,104,0,1,0,156,150,162,,,,,,,TABLE_6.4
Nangloi,Circle,,Nangloi,59,51,49,160,108,127,1,1,0,220,160,176,,,,,,,TABLE_6.4
Narela,Circle,,Narela,37,41,39,95,49,60,0,0,1,132,90,100,,,,,,,TABLE_6.4
Palam Airport,Circle,,Palam Airport,7,8,5,11,16,18,0,0,0,18,24,23,,,,,,,TABLE_6.4
Punjabi Bagh,Circle,,Punjabi Bagh,24,24,40,119,82,74,2,0,1,145,106,115,,,,,,,TABLE_6.4
Pahar Ganj,Circle,,Pahar Ganj,11,6,6,26,29,28,0,0,0,37,35,34,,,,,,,TABLE_6.4
Pt. Street,Circle,,Pt. Street,13,13,15,40,32,32,3,1,0,56,46,47,,,,,,,TABLE_6.4
Pt. House,Circle,,Pt. House,0,0,0,1,2,6,0,1,0,1,3,6,,,,,,,TABLE_6.4
Patel Nagar,Circle,,Patel Nagar,19,17,19,66,60,66,0,0,0,85,77,85,,,,,,,TABLE_6.4
R.K. Puram,Circle,,R.K. Puram,18,10,11,74,29,53,4,0,0,96,39,64,,,,,,,TABLE_6.4
Rajouri Garden,Circle,,Rajouri Garden,24,26,21,66,81,67,0,0,0,90,107,88,,,,,,,TABLE_6.4
Rohini,Circle,,Rohini,32,34,42,155,103,102,3,1,3,190,138,147,,,,,,,TABLE_6.4
Sadar Bazar,Circle,,Sadar Bazar,23,8,5,66,32,39,0,0,0,89,40,44,,,,,,,TABLE_6.4
