Circle,Fatal_2019,Fatal_2020,Fatal_2021,Injury_2019,Injury_2020,Injury_2021,Non_Injury_2019,Non_Injury_2020,Non_Injury_2021,Total_2019,Total_2020,Total_2021
Kalyan Puri,57,33,43,99,91,121,2,0,0,158,124,164
Kapashera,29,23,25,66,37,50,0,0,0,95,60,75
Lajpat Nagar,33,20,20,73,67,68,1,1,2,107,88,90
Mehrauli,21,17,27,77,55,57,0,0,0,98,72,84
Model Town,41,40,29,109,91,94,1,0,0,151,131,123
Maya Puri,19,29,27,55,39,47,3,0,1,77,68,75
Mandawali,31,14,11,81,73,64,3,0,0,115,88,75
Mangol Puri,58,67,49,188,163,152,1,1,0,247,231,201
Najafgarh,50,44,58,106,106,104,0,1,0,156,150,162
Nangloi,59,51,49,160,108,127,1,1,0,220,160,176
Narela,37,41,39,95,49,60,0,0,1,132,90,100
Palam Airport,7,8,5,11,16,18,0,0,0,18,24,23
Punjabi Bagh,24,24,40,119,82,74,2,0,1,145,106,115
Pahar Ganj,11,6,6,26,29,28,0,0,0,37,35,34
Pt. Street,13,13,15,40,32,32,3,1,0,56,46,47
Pt. House,0,0,0,1,2,6,0,1,0,1,3,6
Patel Nagar,19,17,19,66,60,66,0,0,0,85,77,85
R.K. Puram,18,10,11,74,29,53,4,0,0,96,39,64
Rajouri Garden,24,26,21,66,81,67,0,0,0,90,107,88
Rohini,32,34,42,155,103,102,3,1,3,190,138,147
Sadar Bazar,23,8,5,66,32,39,0,0,0,89,40,44
Shahdara,31,15,29,121,65,96,0,0,0,152,80,125
Subzi Mandi,20,13,11,40,40,45,0,0,0,60,53,56
Sarita Vihar,40,19,28,122,113,116,2,0,0,164,132,144
Saket,10,13,12,36,33,39,0,0,1,46,46,52
Sangam Vihar,19,11,15,92,45,66,1,0,0,112,56,81
Seema Puri,52,32,33,119,65,126,2,0,1,173,97,160
Khajoori,30,25,22,132,79,100,0,1,0,162,105,122
Sukhdev Vihar,9,9,9,59,33,49,0,1,0,68,43,58
Tilak Nagar,27,31,36,108,73,88,0,0,1,135,104,125
Tilak Marg,10,4,8,25,20,12,0,0,1,35,24,21
Tughlak Road,6,3,4,10,10,13,1,0,0,17,13,17
Vivek Vihar,31,18,26,76,64,52,0,0,2,107,82,80
Vasant Vihar,32,26,17,91,53,71,1,0,2,124,79,90
