S_No,Road_Name,Fatal_2019,Fatal_2020,Fatal_2021,Injury_2019,Injury_2020,Injury_2021,Non_Injury_2019,Non_Injury_2020,Non_Injury_2021,Total_2019,Total_2020,Total_2021
1.,Africa Avenue,0,0,0,5,3,5,0,0,0,5,3,5
2.,Alipur Road,0,0,0,1,2,2,0,0,0,1,2,2
3.,Anand Mai Marg,10,8,5,19,12,15,0,0,2,29,20,22
4.,Aruna Asaf Ali Marg,2,1,1,13,3,7,1,0,0,16,4,8
5.,Asaf Ali Road,1,1,1,2,1,3,0,0,0,3,2,4
6.,August Kranti Marg,0,0,0,0,1,4,0,0,0,0,1,4
7.,Aurobindo Marg,10,6,3,17,19,15,1,0,0,28,25,18
8.,Bahadur Shah Zr Marg,3,2,1,2,2,7,1,0,0,6,4,8
9.,Bawana Road,12,14,19,22,17,28,0,0,0,34,31,47
10.,Bhati Mine Marg,2,0,0,7,7,1,0,0,0,9,7,1
11.,Boulevard Road,10,2,2,14,7,14,0,0,0,24,9,16
12.,Captain Gaur Marg,0,1,1,4,1,3,0,0,0,4,2,4
13.,Chhatarpur Road,1,0,1,4,3,0,0,0,0,5,3,1
14.,Dhansa Road,5,5,8,14,3,8,0,0,0,19,8,16
15.,Desh Bandhu Gupta Rd,7,2,3,11,12,11,0,0,1,18,14,15
16.,Dr. Ambedkar Road,2,0,2,4,2,2,0,0,0,6,2,4
17.,DSIDC Narela Road,2,2,0,4,0,1,0,0,0,6,2,1
18.,Dwarka Road,,0,,,0,,0,0,,0,0,
19.,Faiz Road,2,2,0,1,1,1,0,0,0,3,3,1
20.,Ghuman Hera Marg,1,0,2,1,1,2,0,0,0,2,1,4
21.,Grand Trunk Road,27,14,21,65,40,57,1,0,0,93,54,78
22.,GTK road,56,46,44,94,72,90,1,1,0,151,119,134
23.,Gurgaon Road,2,0,0,0,0,1,0,0,0,2,0,1
24.,ISBT Road,0,0,,1,0,,0,0,,1,0,
25.,JawaharLal Nehru Rd,5,4,1,11,1,14,0,0,0,16,5,15
26.,Jharoda Road,2,5,7,5,5,1,0,0,0,7,10,8
27.,Kanjhawala Road,2,10,6,9,23,25,0,0,0,11,33,31
28.,Lala Lajpat Rai Path,8,5,2,20,15,24,0,0,0,28,20,26
29.,Loni Road,3,4,2,10,3,11,0,0,0,13,7,13
30.,Mahipal Pur Road,8,8,3,24,14,11,0,0,0,32,22,14
31.,Mandoli Road,1,1,0,4,1,5,0,0,0,5,2,5
32.,Mathura Road,38,15,14,79,60,66,3,0,0,120,75,80
33.,Mayapuri Marg,1,2,4,2,1,4,0,0,1,3,3,9
34.,Mehrauli Badarpur Road,16,18,18,48,38,54,0,1,0,64,57,72
35.,Mehrauli Gurgaon Rd,5,2,11,20,10,12,0,0,0,25,12,23
36.,Najafgarh Road,30,20,28,99,84,78,0,0,1,129,104,107
37.,Najafgarh Nangloi Road,7,7,10,29,21,28,0,0,0,36,28,38
38.,Nangloi Sultanpuri Road,-,0,-,-,0,-,0,0,-,0,0,-
39.,Naraina Road,,1,0,,3,3,0,0,0,0,4,3
40.,Narela Road,3,6,9,18,8,12,0,0,0,21,14,21
41.,Nelson Mandela Marg,2,2,0,7,5,6,0,0,0,9,7,6
42.,New Rohtak Road,5,7,11,17,17,12,0,0,0,22,24,23
43.,NH-24,26,17,15,29,26,32,0,0,0,55,43,47
44.,NH-8,20,27,26,48,61,56,0,0,3,68,88,85
45.,Noida DND Road,5,3,4,6,6,6,0,0,0,11,9,10
46.,Old Gurgaon Road,0,1,2,2,2,3,0,0,0,2,3,5
47.,Old Rohtak Road,2,1,2,11,7,6,0,0,0,13,8,8
48.,Olof Palme Marg,1,0,,0,0,,0,0,,1,0,
49.,Outer Circle Cp,1,0,,5,3,,1,1,,7,4,
50.,Outer Ring Road,125,97,95,224,158,182,0,1,3,349,256,280
51.,Palam Dabri Road,1,0,0,2,1,1,0,0,0,3,1,1
52.,Palla Road,0,1,0,3,0,3,0,0,0,3,1,3
53.,Panchkuian Road,2,1,3,2,9,10,0,0,0,4,10,13
54.,Pankha Road,10,7,9,20,9,15,0,0,0,30,16,24
55.,Patel Road,3,7,4,22,23,23,0,0,0,25,30,27
56.,Patpar Ganj Road,2,2,1,8,6,8,0,0,0,10,8,9
57.,Press Enclave Marg,0,0,2,4,4,6,0,0,0,4,4,8
58.,Prithvi Raj Road,2,0,1,1,0,4,0,0,0,3,0,5
59.,Qutab Road,1,0,2,1,0,1,0,0,0,2,0,3
60.,Raja Ram Marg,4,3,2,4,3,7,0,0,1,8,6,10
61.,Rama Road,4,1,1,6,7,3,0,0,0,10,8,4
62.,Rani Jhansi Road,3,0,1,7,16,12,0,0,0,10,16,13
63.,Rao Tula Ram Marg,2,1,2,4,10,6,0,0,1,6,11,9
64.,Ravi Das Marg,2,3,1,12,3,7,0,0,0,14,6,8
65.,Ring Road,107,85,85,269,200,192,6,2,3,382,287,280
66.,Rithala Road,4,3,0,4,4,1,1,0,0,9,7,1
67.,Road No 13,2,0,0,2,0,2,0,0,0,4,0,2
68.,Road No 37,1,1,2,1,1,1,0,0,0,2,2,3
69.,Road No 40,7,2,1,24,7,4,0,0,0,31,9,5
70.,Road No 41,4,5,6,14,11,10,0,0,0,18,16,16
71.,Road No 56,17,7,9,34,23,14,0,0,0,51,30,23
72.,Road No 57,11,2,4,21,12,11,2,0,1,34,14,16
