S_No,Road_Name,Fatal_Crashes,Total_Crashes,Persons_Killed
1.,Outer Ring Road,95,280,96
2.,Ring Road,85,280,92
3.,Rohtak Road,46,136,48
4.,GTK Road,44,134,45
5.,Najafgarh Road,28,107,32
6.,NH-8,26,85,26
7.,Wazirabad Road,21,101,21
8.,Grand Trunk Road,21,78,21
9.,Bawana Road,19,47,19
10.,Mehrauli Badarpur Road,18,72,18
11.,NH-24,15,47,16
12.,Mathura Road,14,80,15
13.,201 No Road,11,48,11
14.,Mehrauli Gurgaon Road,11,23,11
15.,New Rohtak Road,11,23,11
16.,Najafgarh Nangloi Road,10,38,10
