S_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1.,Ring Road,38,22,14,16,52,38
2.,Outer Ring Road,28,22,13,17,41,39
3.,GTK Road,23,11,10,11,33,22
4.,Rohtak Road,25,13,14,5,39,18
5.,Najafgarh Road,25,15,7,6,32,21
6.,Wazirabad Road,21,18,3,6,24,24
7.,Mathura Road,21,9,2,6,23,15
8.,Grand Trunk Road,14,11,4,4,18,15
9.,Yamuna Pusta Road,1,3,2,4,3,7
10.,Netaji Subhash Marg,6,1,2,3,8,4
11.,Baba Kharak Singh Marg,,4,1,4,1,8
12.,New Rohtak Road,3,1,2,3,5,4
13.,Bawana Road,6,4,4,,10,4
14.,201 No Road,4,4,3,1,7,5
15.,Pankha Road,3,4,2,2,5,6
16.,Road No 57,1,2,2,2,3,4
17.,NH-8,11,6,-,3,11,9
18.,Mehrauli Badarpur Road,6,10,-,3,6,13
19.,Pusta Road,9,4,-,3,9,7
20.,Burari Road,7,1,1,2,8,3
21.,Road No 56,3,3,3,-,6,3
22.,Road No 66,2,3,1,2,3,5
23.,Road No 41,4,1,2,1,6,2
24.,Desh Bandhu Gupta Road,2,3,2,1,4,4
25.,Mehrauli Gurgaon Road,1,3,1,2,2,5
