S_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1.,Outer Ring Road,48,42,18,31,66,73
2.,Ring Road,52,31,17,20,69,51
3.,Rohtak Road,18,17,7,13,25,30
4.,GTK Road,19,13,4,8,23,21
5.,NH-8,16,10,8,3,24,13
6.,Najafgarh Road,10,15,6,4,16,19
7.,Mehrauli Badarpur Road,20,6,1,8,21,14
8.,Wazirabad Road,15,12,4,4,19,16
9.,Bawana Road,7,4,2,6,9,10
10.,Grand Trunk Road,12,8,1,6,13,14
11.,NH-24,12,7,0,7,12,14
12.,201 No Road,13,13,3,3,16,16
13.,Najafgarh Nangloi Road,9,3,2,4,11,7
14.,New Rohtak Road,3,4,3,3,6,7
15.,Mehrauli Gurgaon Road,2,5,3,2,5,7
16.,Dansha Road,4,2,2,3,6,5
17.,Narela Road,3,1,2,3,5,4
18.,Dev Prakash Shastri Road,2,2,1,4,3,6
19.,Mathura Road,16,13,4,0,20,13
20.,Kanjhawala Road,8,9,1,3,9,12
21.,Vikas Marg,8,7,2,2,10,9
22.,Pankha Road,5,3,1,3,6,6
23.,Road No 56,1,5,0,4,1,9
24.,Jharoda Road,1,0,1,3,2,3
25.,Patel Road,5,6,2,1,7,7
