S_No,Black_Spot,Simple_Crashes,Fatal_Crashes,Total_Crashes,Persons_Injured,Persons_Killed,Road_Name
1.,Bhalswa SChowk,3,8,11,3,8,Outer Ring Road
2.,Punjabi Bagh Chowk,11,7,18,16,7,Ring Road
3.,Mukarba Chowk,11,7,18,15,7,Outer Ring Road
4.,Zakhira Flyover,10,6,16,16,6,New Rohtak Road
5.,Libaspur Bus Stand,10,6,16,14,6,GTK Road
6.,Mukund Pur Chowk,7,6,13,12,6,Outer Ring Road
7.,Moti Bagh Flyover,7,5,12,15,5,Ring Road
8.,Nangli Poona,4,5,9,5,5,GTK Road
9.,Siraspur,2,5,7,3,5,GTK Road
10.,Shastri Park/It Park,21,4,25,22,4,Grand Trunk Road
