S_No,Black_Spot,Simple_2020,Simple_2021,Fatal_2020,Fatal_2021,Total_2020,Total_2021,Persons_Injured_2020,Persons_Injured_2021,Persons_Killed_2020,Persons_Killed_2021
1.,Azadpur Chowk,14,4,9,2,23,6,22,4,9,2
2.,Bhalswa Chowk,8,3,8,8,16,11,12,3,9,8
3.,Mukarba Chowk,6,11,8,7,14,18,7,15,8,7
4.,Burari Chowk,6,4,8,4,14,8,11,6,8,5
5.,Majnu Ka Tila,5,10,7,4,12,14,10,15,7,4
6.,Punjabi Bagh Chowk,17,11,6,7,23,18,22,16,6,7
7.,Ghazipur Flyover Murga Mandi,13,8,6,2,19,10,16,9,6,2
8.,Mukundpur Chowk,7,7,6,6,13,13,7,12,6,6
9.,Rajokri Flyover,4,6,6,2,10,8,6,8,6,2
10.,Madhuban Chowk,8,4,5,1,13,5,9,6,5,1
