Black_Spot,Circle,Year,Simple_Crashes,Fatal_Crashes,Total_Crashes,Persons_Injured,Persons_Killed,Day_Night,Fatal_DN,Total_DN,Vulnerable_Period_1,Vuln_Period_1_Fatal,Vuln_Period_1_Total,Vulnerable_Period_2,Vuln_Period_2_Fatal,Vuln_Period_2_Total,Offending_Vehicle_1,Off_Veh_1_Fatal,Off_Veh_1_Total,Offending_Vehicle_2,Off_Veh_2_Fatal,Off_Veh_2_Total,Offending_Vehicle_3,Off_Veh_3_Fatal,Off_Veh_3_Total,Victim_1,Victim_1_Fatal,Victim_1_Total,Victim_2,Victim_2_Fatal,Victim_2_Total
Bhalswa Chowk,BRD,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Night,Fatal,Total,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Bhalswa Chowk,BRD,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Day,4,5,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Bhalswa Chowk,BRD,2020,8,8,16,12,9,Night,Fatal,Total,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Bhalswa Chowk,BRD,2020,8,8,16,12,9,Day,4,5,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Bhalswa Chowk,BRD,2021,3,8,11,3,8,Night,Fatal,Total,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Bhalswa Chowk,BRD,2021,3,8,11,3,8,Day,4,5,,Fatal,Total,1400-1600,2,2,,Fatal,Total,Tempo,2,2,Unknown Vehicle,4,4,,Fatal,Total,Pedestrian,4,6
Punjabi Bagh Chowk,PBC,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Night,Fatal,Total,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Punjabi Bagh Chowk,PBC,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Day,5,10,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Punjabi Bagh Chowk,PBC,2020,17,6,23,22,6,Night,Fatal,Total,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Punjabi Bagh Chowk,PBC,2020,17,6,23,22,6,Day,5,10,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Punjabi Bagh Chowk,PBC,2021,11,7,18,16,7,Night,Fatal,Total,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Punjabi Bagh Chowk,PBC,2021,11,7,18,16,7,Day,5,10,,Fatal,Total,2000-2200,0,5,,Fatal,Total,Unknown Vehicle,4,11,Car/Taxi,2,5,,Fatal,Total,Scooter/M.Cycle,4,9
Mukarba Chowk,BRD,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Night,Fatal,Total,,Fatal,Total,1800-2100,2,4,,Fatal,Total,Unknown Vehicle,4,6,Car/Taxi,1,3,,Fatal,Total,Scooter/M.Cycle,4,8
Mukarba Chowk,BRD,Year,Simple Crashes,Fatal Crashes,Total Crashes,Persons Injured,Persons Killed,Day,4,10,,Fatal,Total,1800-2100,2,4,,Fatal,Total,Unknown Vehicle,4,6,Car/Taxi,1,3,,Fatal,Total,Scooter/M.Cycle,4,8
