S_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Bhalswa Chowk,3,8,11
2.,Mukarba Chowk,11,7,18
3.,Punjabi Bagh Chowk,11,7,18
4.,Zakhira Flyover,10,6,16
5.,Libaspur Bus Stand,10,6,16
6.,Mukundpur Chowk,7,6,13
7.,Moti Bagh Flyover,7,5,12
8.,Nangli Poona,4,5,9
9.,Siraspur,2,5,7
10.,Shastri Park/ IT Park,21,4,25
11.,Majnu Ka Tila,10,4,14
12.,Metro Station Haider Pur,9,4,13
13.,Swaroop Nagar,9,4,13
14.,Seelampur T Point,8,4,12
15.,Rama Road Crossing,6,4,10
16.,Metro Station Madipur,5,4,9
17.,RML Hospital,5,4,9
18.,Wazirabad,5,4,9
19.,Maya Puri Chowk,5,4,9
20.,Mangolpuri Flyover,5,4,9
21.,Karkari More,5,4,9
22.,Jharera Village,4,4,8
23.,Haider Pur,4,4,8
24.,Burari Chowk,4,4,8
25.,Gagan Cinema,4,4,8
26.,Okhla More,3,4,7
27.,Telco Gazipur,3,4,7
28.,Khajoori Khas Pusta Road,2,4,6
29.,Near HaldiRam Wazirpur,2,4,6
30.,C-1 Janakpuri,2,4,6
31.,Rajdhani Park,1,4,5
32.,Round About Seemapuri,0,4,4
33.,GTK Depot Jahangirpuri,0,4,4
34.,Gandhi Vihar Bus Stand,23,3,26
35.,Mool Chand,14,3,17
36.,Power House Mahavir Enclave,10,3,13
37.,Under Pass Gajipur,10,3,13
38.,Peeragarhi Chowk,10,3,13
39.,Akshardham Mandir,9,3,12
40.,Dhaula Kuan,8,3,11
41.,Rajouri Garden,8,3,11
42.,Loni Road Crossing,8,3,11
43.,Railway Under Pulprahladpur,7,3,10
44.,Vijay Ghat,7,3,10
45.,Toll Plaza Badarpur,7,3,10
46.,Anand Vihar ISBT,7,3,10
47.,Naraina,7,3,10
48.,VIP College Pitampura,6,3,9
49.,Raja Harishchander Hospital,6,3,9
50.,Mundka Metro Station,6,3,9
51.,Nigam Bodh Ghat,5,3,8
52.,Flyover Raja Ram Marg,5,3,8
53.,Subhash Nagar Metro Station,4,3,7
54.,Lajpat Rai Market(Lal Qila),4,3,7
55.,Shahdara Flyover,4,3,7
56.,Modi Mill Flyover,4,3,7
57.,Prem Bari Pull,4,3,7
58.,Jahangir Puri Bus Stand Outer Ring Road,4,3,7
59.,Chirag Delhi Flyover,4,3,7
60.,Shastri Park Metro Station,4,3,7
61.,Khampur Village,3,3,6
62.,Azadpur Sabzi Mandi,3,3,6
63.,Keshopur T Point,3,3,6
64.,Tughlakabad Metro Station,3,3,6
65.,Near Manish Furniture Mkt Nangloi Road,3,3,6
66.,Jasola Vihar,3,3,6
67.,ESI Hospital Ring Road,2,3,5
68.,Khichripur,2,3,5
69.,Metro Station Sadar Bazar,2,3,5
70.,Santom Hospital Outer Ring Road,2,3,5
71.,Power House Pitampura,1,3,4
72.,Panchsheel Flyover,1,3,4
73.,Nizamuddin Yamuna Bridge,0,3,3
74.,Dilshad Garden,0,3,3
75.,Gokalpuri,12,2,14
76.,Hyatt Hotel,9,2,11
77.,Hanuman Mandir Yamuna Bazar,8,2,10
78.,Tees Hazari Red Light,8,2,10
79.,Murga Mandi Flyover,8,2,10
80.,Sarita Vihar Flyover,8,2,10
81.,Durgapuri Chowk,8,2,10
82.,Mahipalpur Flyover,8,2,10
83.,DTC Bus Depot Nand Nagri,15,1,16
84.,Harnam Palace Ashok Nagar,12,1,13
85.,"Sec-1,2 Red Light Dwarka",11,1,12
86.,Nirankari Colony,9,1,10
87.,Khajoori Chowk,12,0,12
