S_No,Road,Crash_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Outer Ring Road,18,110,66,176
2.,Ring Road,14,97,48,145
3.,GTK Road,8,42,37,79
4.,Wazirabad Road,6,63,11,74
5.,NH-24,5,29,14,43
6.,Rohtak Road,4,22,17,39
7.,Grand Trunk Road,4,33,14,47
8.,Mathura Road,3,18,8,26
9.,Mehrauli Badarpur Road,2,10,7,17
10.,NH-8,2,12,6,18
11.,Road No.56,2,10,7,17
12.,Road No.201,2,13,4,17
13.,Netaji Subhash Marg,1,4,3,7
14.,Boulevard Road,1,8,2,10
15.,Dabri Palam Road,1,10,3,13
16.,Dsidc Narela Road,1,6,3,9
17.,Josef Brij Tito Marg,1,4,3,7
18.,Loni Road,1,8,2,10
19.,Old GT Road,1,4,3,7
20.,Road No 57,1,5,4,9
21.,Patel Road,1,6,4,10
22.,Najafgarh Road,1,4,3,7
23.,Nangloi Najafgarh Road,1,3,3,6
24.,BKS Marg,1,5,4,9
25.,Road No 13A,1,3,3,6
26.,Raja Ram Kohli Marg,1,5,3,8
27.,Pusta Road,1,2,4,6
28.,Pankha Road,1,2,4,6
29.,Road No 68,1,0,4,4
Total,,87,538,294,832
