S_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Shastri Park/IT Park,8,4,12
2.,Punjabi Bagh Chowk,7,4,11
3.,Mukarba Chowk,2,4,6
4.,Round About Seemapuri,0,4,4
5.,Bhalswa Chowk,0,4,4
6.,Metro Station Haider Pur,4,3,7
7.,Libas Pur Bus Stand,3,3,6
8.,Prem Bari Pull,3,3,6
9.,Toll Plaza Badarpur,3,3,6
10.,Near HaldiRam,2,3,5
11.,Rajdhani Park,1,3,4
12.,Rama Road Crossing,1,3,4
13.,Keshopur T Point,1,3,4
14.,Karkari More,1,3,4
15.,ESI Hospital,1,3,4
16.,Nangli Poona,1,3,4
17.,Okhla More,0,3,3
18.,Siraspur,0,3,3
19.,Haider Pur,0,3,3
20.,GTK Depot,0,3,3
