S_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Mukund Pur Chowk,3,4,7
2.,Metro Station Madipur,2,4,6
3.,Bhalswa Chowk,2,4,6
4.,Zakhira Flyover,7,3,10
5.,Mukarba Chowk,5,3,8
6.,Rama Road Crossing,4,3,7
7.,Dhaula Kuan,3,3,6
8.,Near Manish Furniture Mkt Nangloi Road,2,3,5
9.,Siraspur,2,3,5
10.,Telco Ghazipur,2,3,5
11.,Near HaldiRam,1,3,4
12.,Keshopur T Point,1,3,4
13.,ESI Hospital,0,3,3
14.,Shastri Park/IT Park,13,2,15
15.,Peera Garhi Chowk,8,2,10
16.,Gokalpuri,8,2,10
17.,Mool Chand,8,2,10
18.,Gandhi Vihar Bus Stand,14,1,15
