S_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1.,Libas Pur Bus Stand,4,6,10
2.,Punjabi Bagh Chowk,5,5,10
3.,Mukarba Chowk,6,4,10
4.,Maya Puri Chowk,4,4,8
5.,Moti Bagh Flyover,3,4,7
6.,Bhalswa Chowk,1,4,5
7.,Okhla More,1,4,5
8.,Swaroop Nagar,4,3,7
9.,Railway Underpass Pul Prahladpur,3,3,6
10.,Zakhira Flyover,3,3,6
11.,Karkari More,3,3,6
12.,Burari Chowk,2,3,5
13.,C-1 Janakpuri,2,3,5
14.,Jharera Village,2,3,5
15.,Khampur Village,2,3,5
16.,RML Hospital,2,3,5
17.,Nangli Poona,2,3,5
18.,Metro Station Sadar Bazar,1,3,4
19.,Jahangirpuri Bus Stand,1,3,4
20.,GTK Depot,0,3,3
21.,Dilshad Garden,0,3,3
22.,Khajoori Khas Pusta Road,0,3,3
23.,Gandhi Vihar Bus Stand,9,2,11
24.,Shastri Park/IT Park,8,2,10
