Circle,Compound,Court,Total_Challan,Amount
AVC,3641,26087,29728,2038500
BKR,987,3436,4423,514500
BWC,2681,24673,27354,1406000
BRD,5887,21585,27472,3052500
CHP,515,2174,2689,292300
CLC,4508,31554,36062,2370500
DCC,1128,10051,11179,662500
DFC,3810,25157,28967,2163500
DGC,9362,19229,28591,4897500
DWC,2914,20019,22933,1545000
GKC,2166,32299,34465,1411500
GNC,5427,18773,24200,2942500
HKC,2043,23300,25343,1183000
IGI,1589,10086,11675,893400
JPC,1635,28780,30415,861500
KBC,5105,33030,38135,2757500
KJC,1587,17087,18674,874000
KKC,2295,29968,32263,1367000
KMC,6023,19567,25590,3086500
KOT,4649,46879,51528,2470000
KHC,1343,24962,26305,798500
KPC,8070,20346,28416,4285500
LNC,1460,29308,30768,850500
MGP,2745,19086,21831,1467500
MPC,4238,23795,28033,2205500
MRC,3578,26121,29699,1880500
MTC,9737,13570,23307,5026000
MWC,5161,11519,16680,3031500
NJC,2868,24141,27009,1573000
NLC,5185,17783,22968,2943000
NRL,2540,13149,15689,1378000
PAP,2944,8953,11897,1703500
PBC,1550,20445,21995,904000
PGC,10380,19884,30264,5781500
PNC,2447,23771,26218,1331500
PTC,6445,14264,20709,3341500
PTH,343,1581,1924,181000
RGC,2080,23418,25498,1284000
RHN,1415,18754,20169,793500
RKP,4573,27162,31735,2515000
SBC,3022,26105,29127,1901500
SDV,1276,20514,21790,700500
SGV,1244,26748,27992,816500
SHD,2707,43039,45746,1458000
SKT,2780,28620,31400,1499500
SMC,4913,24654,29567,2699500
SPC,3640,20077,23717,1913100
SVC,1577,33726,35303,880000
TMC,1716,7619,9335,969000
TNC,2099,32602,34701,1218600
TRC,1554,4260,5814,920100
VKC,1711,24786,26497,985000
VVC,3341,26426,29767,1954500
TOTAL,178634,1144922,1323556,97980500
