S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name
1,AGGARWAL MILLENIUM TOWER,6,3,9,SHAHEED JAGAT NARAIN MARG
2,AIMS,10,0,13,RING ROAD
3,ANAND VIHAR ISBT,10,0,13,ROAD NO.56
4,ANAND VIHAR RAILWAY FLYOVER,3,3,6,ROAD NO.56
5,APOLO HOSPITAL,6,3,9,MATHURA ROAD
6,ARSD COLLEGE,4,3,7,RING ROAD
7,ASHRAM CHOWK,10,2,12,RING ROAD
8,AZADPUR BUS TERMINAL,12,2,14,GTK ROAD
9,AZADPUR CHOWK,13,2,15,GTK ROAD
10,AZADPUR SABZI MANDI,7,4,11,GTK ROAD
11,BAKOLI BUS STAND,4,3,7,GTK ROAD
12,BHAJANPURA CHOWK,5,4,9,WAZIRABAD ROAD
13,BHALSWA CHOWK,16,6,22,OUTER RING ROAD
14,BRITANNIA CHOWK,11,1,12,RING ROAD
15,BURARI CHOWK,22,6,28,OUTER RING ROAD
16,C-BLOCK YAMUNA VIHAR,13,1,14,WAZIRABAD ROAD
17,CHHATTA RAIL CHOWK,5,3,8,SPM MARG
18,CNG PUMP/JAIN MANDIR,1,3,4,GTK ROAD NH-1
19,CRPF CAMP KESHOPUR,3,5,8,OUTER RING ROAD
20,CVD DEPOT NANGAL VILLAGE,3,6,9,PANKHA ROAD
21,DHAULA KUAN,6,4,10,RING ROAD
22,DISTRICT CENTER JANAKPURI,3,6,9,NAJAFGARH ROAD
23,DND FLYOVER,3,6,9,RING ROAD
24,DTC BUS DEPOT NAND NAGRI,10,2,12,WAZIRABAD ROAD
25,GAJIPUR DAIRY FARM,9,3,12,ROAD NO.56
26,GATE NO.3 TIHAR JAIL,1,5,6,JAIL ROAD
27,GEETA COLONY FLYOVER,10,3,13,YAMUNA PUSTA ROAD
28,GOKAL PURI,14,1,15,WAZIRABAD ROAD
29,HAIDER PUR,10,2,12,OUTER RING ROAD
