S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,LIBASPUR BUS STAND,2,7,9
2,JAHANGIRPURI BUS STAND,11,6,17
3,MAJNU KATILA,3,6,9
4,ISBT K GATE,7,5,12
5,SHASTRI NAGAR METRO STN,7,5,12
6,SWAROOP NAGAR,4,5,9
7,SGT NAGAR,2,5,7
8,SATYANIKETAN,0,5,5
9,SHASTRI PARK/IT PARK,4,4,8
10,RAJOURI GARDEN,2,4,6
11,UDYOG NAGAR,2,4,6
12,TIKRI KHURD BUS STAND,2,4,6
13,KHAJOORI CHOWK,7,3,10
14,AZADPUR SABZI MANDI,5,3,8
15,RAM CHARAN AGGARWAL CHOWK,4,3,7
16,ANAND VIHAR ISBT,4,3,7
17,JANAK CINEMA,3,3,6
18,APOLO HOSPITAL,2,3,5
19,RAJA HARISHCHANDER HOSPITAL,2,3,5
20,HANUMAN MANDIR,1,3,4
21,RML HOSPITAL,0,3,3
22,SHANI MANDIR,0,3,3
23,SHIV MURTI,0,3,3
24,IP DTC DEPOT,0,3,3
25,MAHIPALPUR FLYOVER,9,2,11
