S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name,Is_Pedestrian_Prone,Is_TwoWheeler_Prone,Is_Cyclist_Prone,Circle_Name,Circle_Fatal_Accidents,Circle_Top_Offending_Vehicles,Circle_Top_Victims,Circle_Top_Roads,Circle_Vulnerable_Time_Slots
1,AGGARWAL MILLENIUM TOWER,6,3,9,SHAHEED JAGAT NARAIN MARG,0,0,0,,,,,,
2,AIMS,10,0,13,RING ROAD,0,0,0,,,,,,
3,ANAND VIHAR ISBT,10,0,13,ROAD NO.56,1,0,0,,,,,,
4,ANAND VIHAR RAILWAY FLYOVER,3,3,6,ROAD NO.56,0,0,0,,,,,,
5,APOLO HOSPITAL,6,3,9,MATHURA ROAD,1,0,0,,,,,,
6,ARSD COLLEGE,4,3,7,RING ROAD,0,0,0,DELHI CANTT,45,UNKNOWN VEHICLE (19),SC/M.CYCLISTS,STATION ROAD; RING ROAD; DHAULA KUAN,0000-0100; 1100-1200; 2300-2400 (8); 1800-1900; 0500-0600 (3); 0100-0200
7,ASHRAM CHOWK,10,2,12,RING ROAD,0,0,0,LAJPAT NAGAR,37,UNKNOWN VEHICLE (20); SC/M.CYCLISTS,SC/M.CYCLISTS,MATHURA ROAD (4); RING ROAD; NOIDA DND ROAD,2100-2200 (6); 0300-0400; 0500-0600 (3); 2200-2300
8,AZADPUR BUS TERMINAL,12,2,14,GTK ROAD,0,0,0,,,,,,
9,AZADPUR CHOWK,13,2,15,GTK ROAD,0,0,0,,,,,,
10,AZADPUR SABZI MANDI,7,4,11,GTK ROAD,1,0,0,,,,,,
11,BAKOLI BUS STAND,4,3,7,GTK ROAD,0,0,0,BAWANA,54,HTV/GOODS,,BAWANA ROAD (8); KANJHAWLA,2200-2300 (6); 2100-2200 (5); 1800-1900; 1900-2000; 1500-1600; 1600-1700 (3); 1300-1400
12,BHAJANPURA CHOWK,5,4,9,WAZIRABAD ROAD,0,0,0,,,,,,
13,BHALSWA CHOWK,16,6,22,OUTER RING ROAD,0,1,1,,,,,,
