Circle_Name,Circle_Fatal_Accidents,Time_Slot,Fatal_Accidents_in_Slot
NARELA,83,2200-2300,
NARELA,83,2000-2100,
NARELA,83,1400-1500,
ASHOK VIHAR,49,0000-0100,
ASHOK VIHAR,49,2300-2400,
ASHOK VIHAR,49,1900-2000,
BARAKHAMBA ROAD,7,2200-2300,
BAWANA,54,2200-2300,6
BAWANA,54,2100-2200,5
BAWANA,54,1800-1900,
BAWANA,54,1900-2000,
BAWANA,54,1500-1600,
BAWANA,54,1600-1700,3
BAWANA,54,1300-1400,
CIVIL LINES,54,0400-0500,5
DELHI CANTT,45,0000-0100,
DELHI CANTT,45,1100-1200,
DELHI CANTT,45,2300-2400,8
DELHI CANTT,45,1800-1900,
DELHI CANTT,45,0500-0600,3
DELHI CANTT,45,0100-0200,
DEFENCE COLONY,22,0000-0100,
DEFENCE COLONY,22,0200-0300,
DARYAGANJ,28,0000-0100,
DWARAKA,25,2200-2300,
GANDHI NAGAR,17,0800-0900,
JANAK PURI,40,0000-0100,
JANAK PURI,40,2000-2100,
JANAK PURI,40,2100-2200,
KAROL BAGH,9,1300-1400,3
KAROL BAGH,9,0100-0200,2
KALKAJI,34,0000-0100,3
KALKAJI,34,2100-2200,6
KALKAJI,34,0900-1000,
KOTWALI,19,0500-0600,
KALYAN PURI,35,2300-2400,
KALYAN PURI,35,0100-0200,
KALYAN PURI,35,0200-0300,3
LAJPAT NAGAR,37,2100-2200,6
LAJPAT NAGAR,37,0300-0400,
LAJPAT NAGAR,37,0500-0600,3
LAJPAT NAGAR,37,2200-2300,
