District,S_No,Road_Name,Fatal_Crashes_2024,Total_Crashes_2024,Persons_Killed_2024
Central,1,Ring Road,13,34,13
Central,2,Patel Road,9,30,10
Central,3,New Rohtak Road,7,14,7
Central,4,Vikas Marg,4,12,4
Central,5,Pusa Road,4,11,4
Central,6,Asaf Ali Road,4,10,4
Central,7,Rani Jhansi Road,4,8,4
Central,8,Jawar Lal Nehru Road,3,13,3
Central,9,Desh Bandu Gupta Road,3,12,3
Central,10,Guru Ravidas Marg,2,6,2
Dwarka,1,Najafgarh Road,13,47,14
Dwarka,2,Dansha Road,3,8,3
Dwarka,3,Najafgarh Nangloi Road,2,3,2
Dwarka,4,Ghuman Hera Marg,2,2,2
Dwarka,5,201 No. Road,1,18,1
Dwarka,6,Chhawla Road,1,4,1
Dwarka,7,Palam Dabri Road,0,6,0
Dwarka,8,Jharoda Road,0,5,0
Dwarka,9,Dabri-Nasirpur Road,0,5,0
Dwarka,10,Pankha Road,0,1,0
East,1,NH-24,26,57,26
East,2,Road No 56,16,40,16
East,3,Yamuna Pusta Road,7,14,7
East,4,Noida Road,6,19,6
East,5,Vikas Marg,5,23,5
East,6,Road No 57,4,23,4
East,7,Patpar Ganj Road,1,13,1
East,8,Kotla Road,1,5,1
East,9,Khichari Pur Road,1,1,1
East,10,Narwana Road,0,10,0
New Delhi,1,Sardar Patel Marg,4,20,4
New Delhi,2,Panchkuian Road,3,18,3
New Delhi,3,Baba Kharak Singh Marg,3,12,3
New Delhi,4,Mathura Road,3,9,3
New Delhi,5,Bhagwan Das Marg,3,7,3
New Delhi,6,Bhairon Road,3,3,3
New Delhi,7,Ridge Road,2,5,2
New Delhi,8,Mother Teresa Road,2,4,2
New Delhi,9,Rafi Marg,1,5,1
New Delhi,10,Kasturba Gandhi Marg,1,5,1
North,1,Outer Ring Road,33,76,35
North,2,Ring Road,11,54,13
North,3,Road No 40,8,16,8
North,4,Boulevard Road,6,17,6
North,5,Mall Road,6,13,6
North,6,Wazirabad Road,5,11,5
North,7,Rajpur Road,3,7,3
North,8,Netaji Subhash Marg,3,6,3
North,9,Old Rohtak Road,2,10,2
North,10,Rani Jhansi Road,2,9,2
North East,1,Pusta Road,22,77,22
North East,2,Wazirabad Road,20,75,21
North East,3,Grand Trunk Road,8,62,9
North East,4,Loni Road,4,14,4
North East,5,Mandoli Road,3,7,3
North East,6,Road No 66,3,6,4
North East,7,Road No 68,2,6,2
North East,8,Karawal Nagar Road,2,6,2
North East,9,Tahirpur Road,0,4,0
North East,10,Babar Pur Road,0,1,0
Shahdara,1,Yamuna Pusta Road,9,22,9
Shahdara,2,Grant Trunk Road,8,27,8
Shahdara,3,Road No 57,5,14,5
Shahdara,4,Swami Dayanand Marg,3,13,3
Shahdara,5,Geeta Colony Road,2,3,2
Shahdara,6,Road No 56,1,8,1
Shahdara,7,Maharaja Surajmal Road,1,5,1
Shahdara,8,Patpar Ganj Road,1,3,1
Shahdara,9,Raja Ram Kohli Marg,1,1,1
North West,1,Ring Road,32,73,32
North West,2,Outer Ring Road,31,64,31
North West,3,GTK Road,19,59,19
North West,4,51 No Road,7,18,8
North West,5,Burari Road,3,16,3
North West,6,Swami Narain Marg,3,7,3
North West,7,Lawrance Road,2,8,2
North West,8,Wazir Pur Indl Area Road,1,1,1
North West,9,Bhama Shah Marg,1,1,1
North West,10,Bhai Parma Nand Marg,1,1,1
Outer,1,Rohtak Road,39,106,40
Outer,2,Outer Ring Road,21,65,21
Outer,3,Najafgarh Nangloi Road,7,19,7
Outer,4,Kanjawala Road,4,12,4
Outer,5,Parwana Road,1,2,1
Outer,6,Nangloi S. Puri Road,1,2,1
Outer,7,Nangloi Road,1,1,1
Outer,8,Road No 42,0,1,0
Outer,9,Road No 30,0,1,0
Outer North,1,GTK Road,53,148,56
Outer North,2,Bawana Road,18,78,21
Outer North,3,Narela Road,13,38,13
Outer North,4,DSIDC Narela Road,5,15,5
Outer North,5,Alipur Road,4,16,5
Outer North,6,Palla Road,3,9,4
Outer North,7,Holambi Road,2,7,2
Outer North,8,Bawana Auchandi Road,2,5,2
Outer North,9,Kanjawala Road,2,4,2
Outer North,10,Hiranki Road,2,3,2
Rohini,1,Kanjhawala Road,12,46,12
Rohini,2,Bhagwan Mahavir Marg,12,26,12
Rohini,3,Maharaja Agarsen Road,3,5,3
Rohini,4,Parwana Road,1,2,1
Rohini,5,Begumpur Road,1,1,1
Rohini,6,Rithala Road,0,2,0
Rohini,7,Road No 41,0,1,0
Rohini,8,Pradeep Bhatia Marg,0,1,0
South,1,Mehrauli Badarpur Road,13,38,13
South,2,Mehrauli Gurgaon Road,7,24,7
South,3,Aurobindo Marg,4,28,4
