S_No,Circle_Name,Total_Fatal_Accidents,Num_Accident_Prone_Zones,Num_Top_Roads,Num_Vulnerable_Time_Slots
1,MANDAWALI,11,0,3,5
2,MANGOL PURI,57,2,2,6
3,MAYAPURI,24,1,3,4
4,MEHRAULI,31,0,2,6
5,MODEL TOWN,44,5,2,6
6,NAJAF GARH,68,0,2,7
7,NANGLOI,42,2,2,7
8,BURARI,106,10,4,5
9,PUNJABI BAGH,44,4,3,9
10,PAHARGANJ,8,0,3,3
11,PATEL NAGAR,26,1,3,4
12,PARLIAMENT STREET,20,1,3,4
13,PARLIAMENT HOUSE,2,0,1,2
14,PALAM AIRPORT,8,0,0,2
15,RAJOURI GARDEN,28,1,2,6
16,ROHINI,44,3,2,5
17,R.K. PURAM,20,3,2,3
18,SADAR BAZAR,17,1,1,3
19,SHAHDARA,34,5,1,5
20,KHAZOORI,30,4,2,3
21,SABZI MANDI,15,0,2,3
22,SEEMA PURI,36,0,3,5
23,SARITA VIHAR,35,7,3,5
24,SAKET,10,0,2,3
25,SANGAM VIHAR,19,0,2,4
26,SUKHDEV VIHAR,18,0,1,3
27,TILAK MARG,15,0,2,2
28,TILAK NAGAR,41,5,2,6
29,VIVEK VIHAR,33,3,2,7
30,VASANT VIHAR,24,6,3,6
