Circle_Name,Vehicle_Type,Fatal_Accidents
MANDAWALI,HTV'S,
MANDAWALI,SC/M.CYCLIST,
MANDAWALI,CLUSTER BUS,
MANDAWALI,UNKNOWN VEHICLE,5
MANGOL PURI,CAR,11
MANGOL PURI,HTV'S,5
MANGOL PURI,UNKNOWN VEHICLE,15
MAYAPURI,CAR,
MAYAPURI,HTV'S,
MAYAPURI,SCOOTER/M.CYC,
MAYAPURI,UNKNOWN VEHICLE,13
MEHRAULI,CAR,
MEHRAULI,HTV'S,
MEHRAULI,SCOOTER/MC,
MEHRAULI,CAR,2
MEHRAULI,TEMPO,
MEHRAULI,UNKNOWN VEHICLE,
MODEL TOWN,HTV'S,8
MODEL TOWN,SCOOTER/MC,7
MODEL TOWN,TEMPO,5
MODEL TOWN,SELF,4
MODEL TOWN,CAR,
MODEL TOWN,UNKNOWN VEHICLE,15
NAJAF GARH,CAR,11
NAJAF GARH,SCOOTER/M.CYCLIST SELF,
NAJAF GARH,TEMPO,7
NAJAF GARH,UNKNOWN VEHICLE,22
NANGLOI,HTV'S,6
NANGLOI,SC/M.CYCLIST,6
NANGLOI,BUS DTC,4
NANGLOI,TEMPO,4
NANGLOI,UNKNOWN VEHICLE,17
BURARI,CAR,16
BURARI,HTV'S,14
BURARI,BUS OTHER,5
BURARI,UNKNOWN VEHICLE,45
PUNJABI BAGH,CAR,2
PUNJABI BAGH,SCOOTER/M.CYCLIST,
PUNJABI BAGH,HTV'S,
PUNJABI BAGH,BUS DTC,
PUNJABI BAGH,UNKNOWN VEHICLE,20
PAHARGANJ,CAR,2
PAHARGANJ,SCOOTER/MC,2
PAHARGANJ,UNKNOWN VEHICLE,2
PATEL NAGAR,CAR,4
PATEL NAGAR,SC/M.CYCLIST,
PATEL NAGAR,TEMPO,
PATEL NAGAR,UNKNOWN VEHICLE,8
PARLIAMENT STREET,BUS DTC,
PARLIAMENT STREET,TSR,
PARLIAMENT STREET,UNKNOWN VEHICLE,12
PARLIAMENT HOUSE,BUS OTHER,1
PALAM AIRPORT,HTV'S,
PALAM AIRPORT,UNKNOWN VEHICLE,4
RAJOURI GARDEN,HTV'S,
RAJOURI GARDEN,SCOOTER/M.CYCLIST,
RAJOURI GARDEN,CAR,
RAJOURI GARDEN,UNKNOWN VEHICLE,9
ROHINI,CAR,
ROHINI,SCOOTER/M.CYCLIST,
ROHINI,HTV'S,
ROHINI,TSR,
ROHINI,UNKNOWN VEHICLE,20
R.K. PURAM,CAR,
R.K. PURAM,HTV'S,
R.K. PURAM,SC/M.CYCLIST,
R.K. PURAM,UNKNOWN VEHICLE,12
SADAR BAZAR,CAR,3
SADAR BAZAR,SC/M.CYCLIST,2
SADAR BAZAR,UNKNOWN VEHICLE,11
SHAHDARA,CAR,
SHAHDARA,SC/M.CYCLIST,
SHAHDARA,TEMPO,
SHAHDARA,UNKNOWN VEHICLE,15
KHAZOORI,HTV'S,
KHAZOORI,CAR,
KHAZOORI,BUS DTC,
KHAZOORI,UNKNOWN VEHICLE,
KHAZOORI,BUS OTHER,
SABZI MANDI,HTV,3
SABZI MANDI,CAR,2
SABZI MANDI,UNKNOWN VEHICLE,
SEEMA PURI,SC/M.CYCLIST,
SEEMA PURI,HTV'S,
SEEMA PURI,TEMPO,
SEEMA PURI,CAR,
SEEMA PURI,UNKNOWN VEHICLE,17
SARITA VIHAR,TEMPO,
SARITA VIHAR,HTV'S,
SARITA VIHAR,CAR,
SARITA VIHAR,UNKNOWN VEHICLE,12
SAKET,CAR,
SAKET,CLUSTER BUS,
SAKET,UNKNOWN VEHICLE,4
SANGAM VIHAR,CAR,
SANGAM VIHAR,GRAMIN SEWA,
SANGAM VIHAR,SCOOTERIST/MC,
SANGAM VIHAR,UNKNOWN VEHICLE,3
SUKHDEV VIHAR,HTV'S,4
SUKHDEV VIHAR,CAR,3
SUKHDEV VIHAR,UNKNOWN VEHICLE,
TILAK MARG,CAR,4
TILAK MARG,UNKNOWN VEHICLE,5
TILAK NAGAR,CAR,
TILAK NAGAR,HTV'S,
TILAK NAGAR,SCOOTER/M.CYCLIST,
TILAK NAGAR,UNKNOWN VEHICLE,26
VIVEK VIHAR,CAR,10
VIVEK VIHAR,TSR,
VIVEK VIHAR,BUS OTHER,4
VIVEK VIHAR,SC/M.CYCLIST,3
VIVEK VIHAR,UNKNOWN VEHICLE,10
VASANT VIHAR,CAR,8
VASANT VIHAR,HTV'S,6
VASANT VIHAR,UNKNOWN VEHICLE,6
