Circle_Name,Road_Name,Fatal_Accidents
MANDAWALI,VIKAS MARG,
MANDAWALI,ROAD NO 57,
MANDAWALI,PATPAR GANJ ROAD,
MANGOL PURI,OUTER RING ROAD,12
MANGOL PURI,QUTABGARH ROAD,
MAYAPURI,DEV PRAKASH SHASTRI MARG,
MAYAPURI,RING ROAD,
MAYAPURI,MAYA PURI MARG,
MEHRAULI,MEHRAULI GURGAON ROAD,11
MEHRAULI,BHATI MINE MARG,
MODEL TOWN,GTK ROAD,
MODEL TOWN,RING ROAD,
NAJAF GARH,DHANSA ROAD,10
NAJAF GARH,NAJAFGARH ROAD,6
NANGLOI,ROHTAK ROAD,19
NANGLOI,NAJAFGARH NANGLOI ROAD,11
BURARI,GTK ROAD,34
BURARI,OUTER RING ROAD,33
BURARI,BURARI ROAD,7
BURARI,OUTER RING ROAD,
PUNJABI BAGH,ROHTAK ROAD,
PUNJABI BAGH,OUTER RING ROAD,
PUNJABI BAGH,RING ROAD,
PAHARGANJ,PANCHKUIAN ROAD,
PAHARGANJ,RANI JHANSI ROAD,
PAHARGANJ,RAMAKRISHNA ASHRAM MARG,
PATEL NAGAR,PATEL ROAD,
PATEL NAGAR,NEW ROHTAK ROAD,
PATEL NAGAR,NAJAFGARH ROAD,
PARLIAMENT STREET,BABA KHADAK SING MARG,
PARLIAMENT STREET,JANPATH,
PARLIAMENT STREET,TALKATORA ROAD,
PARLIAMENT HOUSE,AKBAR ROAD,
RAJOURI GARDEN,RING ROAD,12
RAJOURI GARDEN,NAJAFGARH ROAD,5
ROHINI,OUTER RING ROAD,11
ROHINI,ROAD NO 41,5
R.K. PURAM,RING ROAD,
R.K. PURAM,TAMIL SANGAM ROAD,
SADAR BAZAR,ROAD NO 40,8
SHAHDARA,GRANT TRUNK ROAD,23
KHAZOORI,WAZIRABAD ROAD,15
KHAZOORI,PUSTA ROAD,6
SABZI MANDI,GTK ROAD,
SABZI MANDI,ROAD NO 40,
SEEMA PURI,WAZIRABAD ROAD,
SEEMA PURI,GRANT TRUNK ROAD,
SEEMA PURI,LONI ROAD,
SARITA VIHAR,MATHURA ROAD,12
SARITA VIHAR,13A NO ROAD,6
SARITA VIHAR,JAITPUR ROAD,2
SAKET,MEHRAULI BADARPUR ROAD,6
SAKET,PRESS ENCLAVE MARG,
SANGAM VIHAR,MEHRAULI BADARPUR ROAD,8
SANGAM VIHAR,RAVIDAS MARG,
SUKHDEV VIHAR,MATHURA ROAD,10
TILAK MARG,TILAK MARG,4
TILAK MARG,RING ROAD,5
TILAK NAGAR,NAJAFGARH ROAD,19
TILAK NAGAR,OUTER RING ROAD,8
VIVEK VIHAR,ROAD NO. 56,
VIVEK VIHAR,ROAD NO 58,
VASANT VIHAR,ARUNA ASAF ALI MARG,
VASANT VIHAR,NH-8,
VASANT VIHAR,OUTER RING ROAD,
