Circle_Name,Zone_Name
MANGOL PURI,INDRA PARK
MANGOL PURI,MANGOL PURI FLYOVER
MAYAPURI,MAYA PURI CHOWK
MODEL TOWN,AZADPUR SABZI MANDI
MODEL TOWN,AZADPUR CHOWK
MODEL TOWN,AZADPUR BUS TERMINAL
MODEL TOWN,KINGS WAY CAMP CHOWK
MODEL TOWN,MODEL TOWN IIIRD
NANGLOI,KIRARI MORE
NANGLOI,UDYOG NAGAR
BURARI,BHALSWA CHOWK
BURARI,JAHANGIR PURI BUS STAND
BURARI,CNG PUMP/JAIN MANDIR NH-1
BURARI,BURARI CHOWK
BURARI,MUKARBA CHOWK
BURARI,SWAROOP NAGAR
BURARI,LIBAS PUR BUS STAND
BURARI,MUKUNDPUR CHOWK
BURARI,ITI DHEERPUR
BURARI,SANJAY GANDHI TRANSPORT NAGAR
PUNJABI BAGH,METRO STATION MADIPUR
PUNJABI BAGH,PEERA GARHI CHOWK
PUNJABI BAGH,ROUND ABOUT BHAIRAON ENCLAVE
PUNJABI BAGH,PUNJABI BAGH CHOWK
PATEL NAGAR,ZAKHIRA FLYOVER
PARLIAMENT STREET,RML HOSPITAL
RAJOURI GARDEN,RAJOURI GARDEN
ROHINI,HAIDER PUR
ROHINI,MADHUBAN CHOWK
ROHINI,AGARWAL MILLENIUM TOWER
R.K. PURAM,MOTI BAGH FLYOVER
R.K. PURAM,SATYA NIKETAN NANAKPURA
R.K. PURAM,HAYAAT HOTEL
SADAR BAZAR,SHASTRI NAGAR METRO STATION
SHAHDARA,SHASTRI PARK METRO STATION
SHAHDARA,SHYAM LAL COLLEGE
SHAHDARA,SHAHDARA FLYOVER
SHAHDARA,SEELAM PUR T POINT
SHAHDARA,SHASTRI PARK/IT PARK
KHAZOORI,BHAJANPURA CHOWK
KHAZOORI,KHAZOORI CHOWK
KHAZOORI,C BLOCK YAMUNA VIHAR
KHAZOORI,GOKAL PURI
SARITA VIHAR,APOLLO HOSPITAL
SARITA VIHAR,JAITPUR MORE
SARITA VIHAR,SARITA VIHAR METRO STATION
SARITA VIHAR,HARKESH NAGAR
SARITA VIHAR,NTPC COLONY
SARITA VIHAR,TOLL PLAZA BADARPUR
SARITA VIHAR,KALINDI KUNJ
TILAK NAGAR,UTTAM NAGAR
TILAK NAGAR,JANAK PURI EAST
TILAK NAGAR,CRPF CAMP KESHOPUR
TILAK NAGAR,DISTRICT CENTER JANAK PURI
TILAK NAGAR,NAWADA VILLAGE
VIVEK VIHAR,ANAND VIHAR ISBT
VIVEK VIHAR,ANANAD VIHAR RAILWAY FLYOVER
VIVEK VIHAR,TELCO GAJIPUR
VASANT VIHAR,MAHIPAL PUR FLYOVER
VASANT VIHAR,MUNIRKA FLYOVER
VASANT VIHAR,RADISSON HOTEL
VASANT VIHAR,SHIV MURTI NH-8
VASANT VIHAR,RTR FLYOVER VASANT VIHAR
VASANT VIHAR,KATWARIA SARAI RED LIGHT
