Circle_Name,Total_Fatal_Accidents,Pedestrian_Victims,Scooterist_MC_Victims,Cyclist_Victims,Self_Victims,Car_Victims,Unknown_Vehicle_Fault,HTV_Fault,Car_Fault,Num_Top_Roads,Num_Vulnerable_Time_Slots,Num_Accident_Prone_Zones,Severity_Level,Risk_Score
MANDAWALI,11,6,5,0,0,0,0,5,0,0,3,5,0,LOW,10.4
MANGOL PURI,57,29,20,0,5,0,2,15,0,0,2,6,2,VERY HIGH,53.8
MAYAPURI,24,0,0,0,0,0,0,13,0,0,3,4,1,MEDIUM,22.6
MEHRAULI,31,8,16,0,0,0,0,0,0,2,2,6,0,HIGH,29.2
MODEL TOWN,44,20,0,0,0,0,0,15,8,0,2,6,5,HIGH,41.5
NAJAF GARH,68,17,29,0,0,0,0,22,11,7,2,7,0,VERY HIGH,64.2
NANGLOI,42,0,12,0,0,0,0,17,0,0,2,7,2,HIGH,39.6
BURARI,106,49,0,0,10,0,0,45,16,14,4,5,10,VERY HIGH,100.0
PUNJABI BAGH,44,0,0,0,0,0,0,20,2,0,3,9,4,HIGH,41.5
PAHARGANJ,8,0,0,0,0,0,0,2,2,0,3,3,0,LOW,7.5
PATEL NAGAR,26,15,5,0,0,0,0,8,4,0,3,4,1,MEDIUM,24.5
PARLIAMENT STREET,20,0,0,0,0,0,0,12,0,0,3,4,1,MEDIUM,18.9
PARLIAMENT HOUSE,2,0,0,0,0,0,0,0,0,0,1,2,0,LOW,1.9
PALAM AIRPORT,8,0,0,0,0,0,0,4,0,0,0,2,0,LOW,7.5
RAJOURI GARDEN,28,0,0,0,0,0,0,9,0,0,2,6,1,MEDIUM,26.4
ROHINI,44,0,22,0,0,0,0,20,0,0,2,5,3,HIGH,41.5
R.K. PURAM,20,12,6,0,0,0,1,12,0,0,2,3,3,MEDIUM,18.9
SADAR BAZAR,17,11,4,0,0,0,0,11,3,0,1,3,1,MEDIUM,16.0
SHAHDARA,34,17,12,0,0,0,2,15,0,0,1,5,5,HIGH,32.1
KHAZOORI,30,12,12,0,0,0,0,0,0,0,2,3,4,HIGH,28.3
SABZI MANDI,15,0,0,0,0,0,0,0,0,0,2,3,0,MEDIUM,14.2
SEEMA PURI,36,16,16,0,0,0,2,17,0,0,3,5,0,HIGH,34.0
SARITA VIHAR,35,12,13,0,0,0,3,12,0,0,3,5,7,HIGH,33.0
SAKET,10,0,0,0,0,0,0,4,0,0,2,3,0,LOW,9.4
SANGAM VIHAR,19,0,0,0,0,0,0,3,0,0,2,4,0,MEDIUM,17.9
SUKHDEV VIHAR,18,0,0,0,0,0,0,0,0,0,1,3,0,MEDIUM,17.0
TILAK MARG,15,0,0,0,0,0,0,5,4,0,2,2,0,MEDIUM,14.2
TILAK NAGAR,41,18,20,0,0,0,1,26,0,0,2,6,5,HIGH,38.7
VIVEK VIHAR,33,17,0,0,0,0,0,10,10,0,2,7,3,HIGH,31.1
VASANT VIHAR,24,0,0,0,0,0,0,6,8,0,3,6,6,MEDIUM,22.6
