Vehicle_Type,Num_Circles,Total_Fatal_Accidents,Circles
UNKNOWN VEHICLE,29,328,MANDAWALI; MANGOL PURI; MAYAPURI; MEHRAULI; MODEL TOWN; NAJAF GARH; NANGLOI; BURARI; PUNJABI BAGH; PAHARGANJ; PATEL NAGAR; PARLIAMENT STREET; PALAM AIRPORT; RAJOURI GARDEN; ROHINI; R.K. PURAM; SADAR BAZAR; SHAHDARA; KHAZOORI; SABZI MANDI; SEEMA PURI; SARITA VIHAR; SAKET; SANGAM VIHAR; SUKHDEV VIHAR; TILAK MARG; TILAK NAGAR; VIVEK VIHAR; VASANT VIHAR
CAR,26,78,MANGOL PURI; MAYAPURI; MEHRAULI; MEHRAULI; MODEL TOWN; NAJAF GARH; BURARI; PUNJABI BAGH; PAHARGANJ; PATEL NAGAR; RAJOURI GARDEN; ROHINI; R.K. PURAM; SADAR BAZAR; SHAHDARA; KHAZOORI; SABZI MANDI; SEEMA PURI; SARITA VIHAR; SAKET; SANGAM VIHAR; SUKHDEV VIHAR; TILAK MARG; TILAK NAGAR; VIVEK VIHAR; VASANT VIHAR
HTV'S,18,43,MANDAWALI; MANGOL PURI; MAYAPURI; MEHRAULI; MODEL TOWN; NANGLOI; BURARI; PUNJABI BAGH; PALAM AIRPORT; RAJOURI GARDEN; ROHINI; R.K. PURAM; KHAZOORI; SEEMA PURI; SARITA VIHAR; SUKHDEV VIHAR; TILAK NAGAR; VASANT VIHAR
TEMPO,8,16,MEHRAULI; MODEL TOWN; NAJAF GARH; NANGLOI; PATEL NAGAR; SHAHDARA; SEEMA PURI; SARITA VIHAR
SC/M.CYCLIST,8,11,MANDAWALI; NANGLOI; PATEL NAGAR; R.K. PURAM; SADAR BAZAR; SHAHDARA; SEEMA PURI; VIVEK VIHAR
BUS OTHER,4,10,BURARI; PARLIAMENT HOUSE; KHAZOORI; VIVEK VIHAR
SCOOTER/MC,3,9,MEHRAULI; MODEL TOWN; PAHARGANJ
SELF,1,4,MODEL TOWN
BUS DTC,4,4,NANGLOI; PUNJABI BAGH; PARLIAMENT STREET; KHAZOORI
HTV,1,3,SABZI MANDI
CLUSTER BUS,2,0,MANDAWALI; SAKET
SCOOTER/M.CYC,1,0,MAYAPURI
SCOOTER/M.CYCLIST SELF,1,0,NAJAF GARH
SCOOTER/M.CYCLIST,4,0,PUNJABI BAGH; RAJOURI GARDEN; ROHINI; TILAK NAGAR
TSR,3,0,PARLIAMENT STREET; ROHINI; VIVEK VIHAR
GRAMIN SEWA,1,0,SANGAM VIHAR
SCOOTERIST/MC,1,0,SANGAM VIHAR
