Time_Slot,Num_Circles_Vulnerable,Total_Fatal_Accidents,Circles
0000-0100,7,0,MANGOL PURI; NANGLOI; PALAM AIRPORT; RAJOURI GARDEN; KHAZOORI; SEEMA PURI; SUKHDEV VIHAR
0100-0200,4,0,NANGLOI; PUNJABI BAGH; SEEMA PURI; SAKET
0200-0300,8,0,MANDAWALI; MODEL TOWN; NANGLOI; BURARI; RAJOURI GARDEN; SEEMA PURI; SAKET; VASANT VIHAR
0300-0400,3,0,PARLIAMENT STREET; RAJOURI GARDEN; SEEMA PURI
0400-0500,2,0,PALAM AIRPORT; SABZI MANDI
0500-0600,8,6,PUNJABI BAGH; RAJOURI GARDEN; SADAR BAZAR; SHAHDARA; SEEMA PURI; SARITA VIHAR; SANGAM VIHAR; VASANT VIHAR
0600-0700,8,0,MANDAWALI; MEHRAULI; MODEL TOWN; PUNJABI BAGH; PATEL NAGAR; RAJOURI GARDEN; KHAZOORI; VASANT VIHAR
0700-0800,5,3,MANDAWALI; MODEL TOWN; SADAR BAZAR; SHAHDARA; SAKET
0800-0900,9,0,MANDAWALI; NAJAF GARH; NANGLOI; PUNJABI BAGH; PARLIAMENT HOUSE; ROHINI; R.K. PURAM; VIVEK VIHAR; VASANT VIHAR
0900-1000,5,2,MODEL TOWN; NAJAF GARH; ROHINI; SHAHDARA; TILAK NAGAR
1000-1100,3,3,MAYAPURI; PUNJABI BAGH; VIVEK VIHAR
1100-1200,3,2,NANGLOI; PAHARGANJ; SHAHDARA
1200-1300,4,0,MANGOL PURI; MEHRAULI; PATEL NAGAR; TILAK NAGAR
1300-1400,3,0,MANDAWALI; NAJAF GARH; PUNJABI BAGH
1400-1500,5,0,MEHRAULI; PARLIAMENT STREET; KHAZOORI; SUKHDEV VIHAR; VIVEK VIHAR
1500-1600,2,2,SANGAM VIHAR; SUKHDEV VIHAR
1600-1700,1,0,SADAR BAZAR
1700-1800,5,2,MANGOL PURI; MODEL TOWN; PARLIAMENT STREET; SANGAM VIHAR; VIVEK VIHAR
1800-1900,1,0,MANGOL PURI
1900-2000,6,2,MAYAPURI; PATEL NAGAR; ROHINI; R.K. PURAM; SANGAM VIHAR; TILAK NAGAR
2000-2100,8,0,MAYAPURI; NAJAF GARH; BURARI; PUNJABI BAGH; PARLIAMENT HOUSE; SARITA VIHAR; TILAK NAGAR; VASANT VIHAR
2100-2100,1,0,ROHINI
2100-2200,10,0,MANGOL PURI; MEHRAULI; NAJAF GARH; NANGLOI; BURARI; PUNJABI BAGH; RAJOURI GARDEN; SABZI MANDI; SARITA VIHAR; VIVEK VIHAR
2200-2300,14,12,MANGOL PURI; MAYAPURI; MEHRAULI; NAJAF GARH; NANGLOI; BURARI; PUNJABI BAGH; PAHARGANJ; PATEL NAGAR; ROHINI; SARITA VIHAR; TILAK MARG; TILAK NAGAR; VIVEK VIHAR
2300-2400,14,10,MEHRAULI; MODEL TOWN; NAJAF GARH; BURARI; PAHARGANJ; PARLIAMENT STREET; R.K. PURAM; SHAHDARA; SABZI MANDI; SARITA VIHAR; TILAK MARG; TILAK NAGAR; VIVEK VIHAR; VASANT VIHAR
