Road_Name,Num_Circles,Total_Fatal_Accidents,Circles
OUTER RING ROAD,7,64,MANGOL PURI; BURARI; BURARI; PUNJABI BAGH; ROHINI; TILAK NAGAR; VASANT VIHAR
GTK ROAD,3,34,MODEL TOWN; BURARI; SABZI MANDI
NAJAFGARH ROAD,4,30,NAJAF GARH; PATEL NAGAR; RAJOURI GARDEN; TILAK NAGAR
GRANT TRUNK ROAD,2,23,SHAHDARA; SEEMA PURI
MATHURA ROAD,2,22,SARITA VIHAR; SUKHDEV VIHAR
ROHTAK ROAD,2,19,NANGLOI; PUNJABI BAGH
RING ROAD,6,17,MAYAPURI; MODEL TOWN; PUNJABI BAGH; RAJOURI GARDEN; R.K. PURAM; TILAK MARG
WAZIRABAD ROAD,2,15,KHAZOORI; SEEMA PURI
MEHRAULI BADARPUR ROAD,2,14,SAKET; SANGAM VIHAR
MEHRAULI GURGAON ROAD,1,11,MEHRAULI
NAJAFGARH NANGLOI ROAD,1,11,NANGLOI
DHANSA ROAD,1,10,NAJAF GARH
ROAD NO 40,2,8,SADAR BAZAR; SABZI MANDI
BURARI ROAD,1,7,BURARI
PUSTA ROAD,1,6,KHAZOORI
13A NO ROAD,1,6,SARITA VIHAR
ROAD NO 41,1,5,ROHINI
TILAK MARG,1,4,TILAK MARG
JAITPUR ROAD,1,2,SARITA VIHAR
VIKAS MARG,1,0,MANDAWALI
ROAD NO 57,1,0,MANDAWALI
PATPAR GANJ ROAD,1,0,MANDAWALI
QUTABGARH ROAD,1,0,MANGOL PURI
DEV PRAKASH SHASTRI MARG,1,0,MAYAPURI
MAYA PURI MARG,1,0,MAYAPURI
BHATI MINE MARG,1,0,MEHRAULI
PANCHKUIAN ROAD,1,0,PAHARGANJ
RANI JHANSI ROAD,1,0,PAHARGANJ
RAMAKRISHNA ASHRAM MARG,1,0,PAHARGANJ
PATEL ROAD,1,0,PATEL NAGAR
NEW ROHTAK ROAD,1,0,PATEL NAGAR
BABA KHADAK SING MARG,1,0,PARLIAMENT STREET
JANPATH,1,0,PARLIAMENT STREET
TALKATORA ROAD,1,0,PARLIAMENT STREET
AKBAR ROAD,1,0,PARLIAMENT HOUSE
TAMIL SANGAM ROAD,1,0,R.K. PURAM
LONI ROAD,1,0,SEEMA PURI
PRESS ENCLAVE MARG,1,0,SAKET
RAVIDAS MARG,1,0,SANGAM VIHAR
ROAD NO. 56,1,0,VIVEK VIHAR
ROAD NO 58,1,0,VIVEK VIHAR
ARUNA ASAF ALI MARG,1,0,VASANT VIHAR
NH-8,1,0,VASANT VIHAR
