S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name
1,ISBT KASHMIRI GATE,8,9,17,RING ROAD
2,KASHMIRI GATE CHOWK,8,9,17,BOULEVARD ROAD
3,BHALSWA CHOWK,8,9,17,OUTER RING ROAD
4,MUKUNDPUR CHOWK,16,8,24,OUTER RING ROAD
5,LIBASPUR BUS STAND,10,8,18,GTK ROAD
6,GHEWRA MORE,5,8,13,ROHTAK ROAD
7,5TH PUSTA USMAN PUR,11,7,18,PUSTA ROAD
8,MUKARBA CHOWK,9,7,16,GTK ROAD
9,MAHIPALPUR FLYOVER,5,7,12,NH-8
10,RAJDHANI PARK,4,7,11,ROHTAK ROAD
11,PREM BARI PULL,3,7,10,RING ROAD
12,WAZIRABAD,16,6,22,OUTER RING ROAD
13,NIRANKARI COLONY,11,6,17,OUTER RING ROAD
14,ANAND VIHAR ISBT,9,6,15,ROAD NO.56
15,HANUMAN MANDIR YAMUNA BAZAR,7,6,13,RING ROAD
16,INDIRA KALYAN VIHAR RED LIGHT,6,6,12,ANAND MAI MARG
17,ITO/IP FLYOVER,5,6,11,RING ROAD
18,"SEC-1,2 RED LIGHT DWARKA",5,6,11,ROAD NO.201
19,SHASTRI PARK/IT PARK,17,5,22,G.T.ROAD
20,PUNJABI BAGH CHOWK,15,5,20,RING ROAD
21,PEERAGARHI CHOWK,15,5,20,OUTER RING ROAD
22,SWAROOP NAGAR,13,5,18,GTK ROAD
23,METRO STATION MADIPUR,10,5,15,ROHTAK ROAD
24,BURARI CHOWK,10,5,15,OUTER RING ROAD
25,NARAINA,9,5,14,RING ROAD
26,MAJLIS PARK METRO STATION,8,5,13,ROAD NO.51
27,SHAKARPUR CHUNGI,7,5,12,VIKAS MARG
28,SIRASPUR,6,5,11,GTK ROAD
29,MUNDKA METRO STATION,5,5,10,ROHTAK ROAD
30,SARITA VIHAR METRO STATION,4,5,9,MATHURA ROAD
31,TIKRI VILLAGE,4,5,9,ROHTAK ROAD
32,AZAD PUR CHOWK,3,5,8,GTK ROAD
33,JASOLA VIHAR,2,5,7,ROAD NO 13A
34,MOOL CHAND,12,4,16,RING ROAD
35,JAHANGIR PURI METRO STATION,10,4,14,GTK ROAD
36,AKSHARDHAM MANDIR,9,4,13,NH-24
37,RAJOURI GARDEN,7,4,11,RING ROAD
38,MAYA PURI CHOWK,7,4,11,RING ROAD
39,RAJGHAT,7,4,11,RING ROAD
40,SHAHBAD DAIRY,6,4,10,BAWANA ROAD
41,NIGAM BODH GHAT,6,4,10,RING ROAD
42,PUSTA NEW USMANPUR,5,4,9,YAMUNA PUSTA ROAD
43,BUS STAND JAGAT PURI,5,4,9,ROAD NO 57
44,HOTEL BULBUL MUNDKA,5,4,9,ROHTAK ROAD
45,GOYALA DAIRY VILLAGE,5,4,9,GOYLA DAIRY ROAD
46,SINGHOLA VILLAGE,5,4,9,GTK ROAD
47,LADO SARAI CROSSING,5,4,9,MEHRAULI BADARPUR RD
48,BRAR SQUARE,4,4,8,RING ROAD
49,SURAJMAL METRO STATION,4,4,8,ROHTAK ROAD
50,SINGHU BORDER,4,4,8,GTK ROAD
51,ITI DHEERPUR,4,4,8,OUTER RING ROAD
52,WAZIR PUR DEPOT,4,4,8,RING ROAD
53,SANTOM HOSPITAL OUTER RING ROAD,3,4,7,OUTER RING ROAD
54,GURUDWARA BANGLA SAHIB,3,4,7,BKS MARG
55,BUDHPUR GANDA NALA/HANUMAN MANDIR,2,4,6,GTK ROAD
56,SHAMSHAN GHAT PUNJABI BAGH,2,4,6,RING ROAD
57,MODI MILL FLYOVER,0,4,4,OUTER RING ROAD
58,SHASTRI NAGAR METRO STATION,15,3,18,VIR BANDA BAIRAGI MARG
59,CHIRAG DELHI FLYOVER,12,3,15,JOSEF BRIJ TITO MARG
60,TOLL PLAZA BADARPUR,10,3,13,MATHURA ROAD
61,SEELAMPUR T POINT,10,3,13,G.T.ROAD
62,SHYAM LAL COLLEGE,10,3,13,G.T.ROAD
63,UNDER PASS GAJIPUR,10,3,13,NH-24
64,OKHLA MORE,9,3,12,MEHRAULI BADARPUR RD
65,METRO STATION INDERLOK,8,3,11,VIR BANDA BAIRAGI MARG
66,KAKROLA DWARKA MORE,8,3,11,NAJAFGARH ROAD
67,ASHRAM CHOWK,7,3,10,RING ROAD
68,AZADPUR SABZI MANDI,7,3,10,GTK ROAD
69,HYAAT HOTEL,7,3,10,RING ROAD
70,PREPAID BOOTH MUKARBA CHOWK,7,3,10,OUTER RING ROAD
71,ESI HOSPITAL RING ROAD,6,3,9,RING ROAD
72,"ESI HOSPITAL, ANAND MAI MARG",6,3,9,ANAND MAI MARG
73,KIRARI MORE,6,3,9,ROHTAK ROAD
74,MURGA MANDI FLYOVER,6,3,9,NH-24
75,TARA APARTMENT,6,3,9,RAVIDAS MARG
76,RAJOUKARI FLYOVER,6,3,9,NH-8
77,OUTER CIRCLE CP NEAR MINTO ROAD,6,3,9,OUTER CIRCLE CP
78,BRITANNIA CHOWK,6,3,9,RING ROAD
79,METRO STATION KRISHNA NAGAR,6,3,9,ROAD NO 57
80,DEEPALI CHOWK,5,3,8,OUTER RING ROAD
81,RML HOSPITAL,5,3,8,BKS MARG
82,MONESTRY RING ROAD,5,3,8,RING ROAD
83,UDYOG NAGAR,4,3,7,ROHTAK ROAD
84,AGRA CANAL ROAD JAITPUR,4,3,7,AGRA CANAL ROAD
85,CHINTAMANI RED LIGHT SEEMAPURI,4,3,7,G.T.ROAD
86,SUBHASH NAGAR METRO STATION,4,3,7,NAJAFGARH ROAD
87,LOHIA PULL,4,3,7,AGRA CANAL ROAD
88,TELCO GAJIPUR,3,3,6,ROAD NO.56
89,KHAMPUR VILLAGE,3,3,6,GTK ROAD
90,DND FLYOVER,2,3,5,RING ROAD
91,SAI BABA MANDIR NH-1,2,3,5,GTK ROAD
92,FILMISTAN,2,3,5,RANI JHANSI ROAD
93,KHAJOORI CHOWK,14,2,16,WAZIRABAD ROAD
94,SHYAMGIRI MANDIR SHASTRI PARK,12,2,14,G.T.ROAD
95,SANJAY T-POINT,11,2,13,NH-8
96,AIIMS,11,2,13,RING ROAD
97,C BLOCK YAMUNA VIHAR,10,2,12,WAZIRABAD ROAD
98,GANDHI VIHAR BUS STAND,10,2,12,OUTER RING ROAD
99,KALINDI KUNJ,9,2,11,ROAD NO 134
100,DELHI GATE,9,2,11,N. SUBHASH MARG
101,DABRI FLYOVER,9,2,11,PANKHA ROAD
102,ANAND VIHAR RAILWAY FLYOVER,8,2,10,ROAD NO.56
103,JANAK PURI EAST,8,2,10,NAJAFGARH ROAD
104,ROUND ABOUT OKHLA ESTATE,9,1,10,ANAND MAI MARG
105,KALKAJI MANDIR,9,1,10,OUTER RING ROAD
106,GOKALPURI,18,1,19,WAZIRABAD ROAD
107,KHAJOORI KHAS PUSTA ROAD,11,0,11,PUSTA ROAD
108,DHAULA KUAN,10,0,10,RING ROAD
109,NEHRU PALACE,10,0,10,OUTER RING ROAD
110,OKHLA MANDI,10,0,10,CAPTAIN GAUD MARG
