Range_Name,District_Name,Number_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
CENTRAL RANGE,CENTRAL DISTRICT,3,21,12,33
CENTRAL RANGE,NORTH DISTRICT,10,95,49,144
EASTERN RANGE,EAST DISTRICT,9,63,33,96
EASTERN RANGE,NORTH EAST DISTRICT,11,122,31,153
NEW DELHI RANGE,DWARKA DISTRICT,3,26,8,34
NEW DELHI RANGE,NEW DELHI DISTRICT,3,14,10,24
OUTER RANGE,NORTH-WEST DISTRICT,22,151,109,260
OUTER RANGE,OUTER DISTRICT,3,14,11,25
SOUTHERN RANGE,SOUTH DISTRICT,5,40,19,59
SOUTHERN RANGE,SOUTH EAST DISTRICT,18,119,52,171
WESTERN RANGE,SOUTH WEST DISTRICT,5,31,15,46
WESTERN RANGE,WEST DISTRICT,18,121,80,201
