S_No,Circle_Name,Number_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,BURARI CIRCLE,11,96,64,160
2,NANGLOI CIRCLE,8,37,39,76
3,KALKAJI CIRCLE,7,55,17,72
4,SARITA VIHAR CIRCLE,6,33,21,54
5,CIVIL LINES CIRCLE,6,63,34,97
6,SHAHDARA CIRCLE,6,65,24,89
7,VIVEK VIHAR CIRCLE,5,34,18,49
8,MODEL TOWN CIRCLE,4,28,17,45
9,KHAZOORI CIRCLE,4,53,4,57
10,NARELA CIRCLE,4,14,14,28
11,ASHOK VIHAR CIRCLE,3,3,14,27
12,DARYA GANJ CIRCLE,3,21,12,33
13,KALYAN PURI CIRCLE,3,25,10,35
14,LAJPAT NAGAR CIRCLE,3,24,10,34
15,MAYA PURI CIRCLE,3,20,13,33
16,PARLIAMENT STREET CIRCLE,3,14,10,24
17,TILAK NAGAR CIRCLE,3,20,8,28
18,RAJOURI GARDEN CIRCLE,3,15,11,26
19,SADAR BAZAR CIRCLE,3,25,9,34
20,PUNJABI BAGH CIRCLE,3,40,15,55
21,DELHI CANTT CIRCLE,2,21,2,23
22,SUKHDEV VIHAR CIRCLE,1,0,4,4
23,BAWANA CIRCLE,1,6,4,10
24,SEEMA PURI CIRCLE,1,4,3,7
25,DEFENCE COLONY CIRCLE,1,11,2,13
26,SAKET CIRCLE,1,5,4,9
27,DWARKA CIRCLE,1,5,6,11
28,GREATER KAILASH CIRCLE,1,10,0,10
29,HAUS KHAS CIRCLE,1,12,3,15
30,MANDAWALI CIRCLE,1,7,5,12
31,KAPASHERA CIRCLE,1,6,3,9
32,KOTWALI CIRCLE,1,7,6,13
33,R.K. PURAM CIRCLE,1,7,3,10
34,MANGOL PURI CIRCLE,1,5,3,8
35,ROHINI CIRCLE,1,3,4,7
36,VASANT VIHAR CIRCLE,1,5,7,12
37,NAJAF GARH CIRCLE,1,5,4,9
38,JANAK PURI CIRCLE,1,9,2,11
