S_No,Road_Name,Number_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,RING ROAD,22,156,91,247
2,OUTER RING ROAD,14,124,60,184
3,GTK ROAD,12,74,55,129
4,ROHTAK ROAD,9,47,44,91
5,G.T. ROAD,5,53,16,69
6,ANAND MAI MARG,3,21,10,31
7,NAJAFGARH ROAD,3,20,8,28
8,NH-24,3,25,10,35
9,NH-8,3,22,12,34
10,WAZIRABAD ROAD,3,42,4,46
11,ROAD NO.56,3,20,11,34
12,MEHRAULI BADARPUR ROAD,2,14,7,21
13,BKS MARG,2,8,7,15
14,VIR BANDA BAIRAGI MARG,2,23,6,29
15,MATHURA ROAD,2,14,8,22
16,ROAD NO 13A,2,11,7,18
17,AGRA CANAL ROAD,2,8,6,14
18,ROAD NO 57,2,11,7,18
19,PUSTA ROAD,2,22,7,29
20,VIKAS MARG,1,7,5,12
21,BAWANA ROAD,1,6,4,10
22,RAVIDAS MARG,1,6,3,9
23,BOULEVARD ROAD,1,12,9,21
24,CAPTAIN GAUD MARG,1,10,0,10
25,N. SUBHASH MARG,1,9,2,11
26,GOYLA DAIRY ROAD,1,4,5,9
27,ROAD NO.201,1,5,6,11
28,JOSEF BRIJ TITO MARG,1,12,3,15
29,OUTER CIRCLE CP,1,6,3,9
30,PANKHA ROAD,1,9,2,11
31,YAMUNA PUSTA ROAD,1,5,4,9
32,ROAD NO.51,1,8,5,13
33,RANI JHANSI ROAD,1,2,3,5
