S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents,Road_Name
1,ISBT K GATE,8,7,15,RING ROAD
2,GHEWRA MORE,4,5,9,ROHTAK ROAD
3,5TH PUSTA USMANPUR,4,4,8,PUSTA ROAD
4,LIBAS PUR BUS STAND,4,4,8,GTK ROAD
5,BHALSWA CHOWK,3,5,8,OUTER RING ROAD
6,"SEC-1,2 RED LIGHT",3,4,7,ROAD NO.201
7,PREM BARI PULL,3,4,7,RING ROAD
8,KASHMIRI GATE CHOWK,3,4,7,BOULEVARD ROAD
9,INDIRA KALYAN VIHAR RED LIGHT,3,4,7,ANAND MAI MARG
10,RAJGHAT,3,3,6,RING ROAD
11,SIRASPUR,3,3,6,GTK ROAD
12,HANUMAN MANDIR,3,3,6,RING ROAD
13,MUKARBA CHOWK,3,3,6,GTK ROAD
14,RAJDHANI PARK,3,3,6,ROHTAK ROAD
15,TIKRI VILLAGE,2,3,5,ROHTAK ROAD
16,MAHIPALPUR FLYOVER,2,3,5,NH-8
17,METRO STATION MADIPUR,2,3,5,ROHTAK ROAD
18,PEERA GARHI CHOWK,2,3,5,OUTER RING ROAD
19,AZADPUR SABZI MANDI,2,3,5,GTK ROAD
20,SHAKAR PUR CHUNGI,2,3,5,VIKAS MARG
21,TARA APARTMENT,2,3,5,RAVIDAS MARG
22,FILMISTAN,2,3,5,RANI JHANSI ROAD
23,PUSTA NEW USMAN PUR,2,3,5,YAMUNA PUSTA ROAD
24,SARITA VIHAR METRO STATION,2,3,5,MATHURA ROAD
25,AKSHARDHAM MANDIR,2,3,5,NH-24
26,AZAD PUR CHOWK,2,3,5,GTK ROAD
27,BUS STAND JAGAT PURI,2,3,5,ROAD NO 57
28,SUBHASH NAGAR METRO STN,2,3,5,NAJAFGARH ROAD
29,MUNDKA METRO STATION,2,3,5,ROHTAK ROAD
30,BUDHPUR GANDA NALA/HANUMAN MANDIR,1,3,4,GTK ROAD
31,GURUDWARA BANGLA SAHIB,1,3,4,BKS MARG
32,SHASTRI NAGAR METRO STN,1,3,4,VIR BANDA BAIRAGI MARG
33,KHAJOORI CHOWK,1,2,3,WAZIRABAD ROAD
