S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,ISBT KASHMIRI GATE,5,8,13
2,MAHIPALPUR FLYOVER,1,6,7
3,BHALSWA CHOWK,4,5,9
4,5TH PUSTA USMANPUR,3,5,8
5,GHEWRA MORE,1,5,6
6,MUNDKA METRO STATION,1,5,6
7,SWAROOP NAGAR,5,4,9
8,RAJOURI GARDEN,4,4,8
9,WAZIRABAD,3,4,7
10,LIBAS PUR BUS STAND,3,4,7
11,HANUMAN MANDIR,3,4,7
12,RAJDHANI PARK,3,4,7
13,"SEC-1,2 RED LIGHT",2,4,6
14,PREM BARI PULL,2,4,6
15,SURAJMAL METRO STATION,1,4,5
16,METRO STATION MADIPUR,6,3,9
17,KIRARI MORE,5,3,8
18,MAYA PURI CHOWK,4,3,7
19,SIRASPUR,4,3,7
20,NARAINA,4,3,7
21,MUKUND PUR CHOWK,3,3,6
22,INDIRA KALYAN VIHAR RED LIGHT,3,3,6
23,AZAD PUR CHOWK,3,3,6
24,RAJGHAT,2,3,5
25,SHAMSHAN GHAT PUNJABI BAGH,2,3,5
26,SHAKAR PUR CHUNGI,2,3,5
27,BURARI CHOWK,2,3,5
28,WAZIR PUR DEPOT,2,3,5
29,BRAR SQUARE,1,3,4
30,BUDHPUR GANDA NALA/HANUMAN MANDIR BUDHPUR,1,3,4
31,ITO/IP FLYOVER,1,3,4
32,BUS STAND JAGAT PURI,0,3,3
33,MURGA MANDI FLYOVER,0,3,3
34,SUBHASH NAGAR METRO STN,0,3,3
35,PUNJABI BAGH CHOWK,8,2,10
36,NIRANKARI COLONY,5,2,7
37,KHAJOORI CHOWK,5,2,7
38,SINGHOLA VILLAGE,4,2,6
39,JANAKPURI EAST,4,2,6
40,DEEPALI CHOWK,3,2,5
41,ASHRAM CHOWK,3,2,5
42,CHIRAG DELHI FLYOVER,3,2,5
43,RAJOUKARI FLYOVER,3,2,5
44,UNDER PASS GAJIPUR,3,2,5
45,SHYAMGIRI MANDIR SHASTRI PARK,3,2,5
46,SEELAMPUR T POINT,3,2,5
47,MUKARBA CHOWK,3,2,5
48,JAHANGIR PURI METRO STATION,3,2,5
49,NIGAM BODH GHAT,3,2,5
50,DABRI FLYOVER,6,1,7
51,ESI HOSPITAL,5,1,6
52,MOOL CHAND,5,1,6
53,SANJAY T-POINT,5,1,6
54,HYAAT HOTEL,5,1,6
55,AIIMS,5,1,6
56,"ESI HOSPITAL, ANAND MAI MARG",4,1,5
57,KASHMIRI GATE CHOWK,4,1,5
58,SHAHBAD DAIRY,4,1,5
59,KALKAJI MANDIR,4,1,5
60,PUSTA NEW USMAN PUR,4,1,5
61,SHASTRI NAGAR METRO STN,6,0,6
