S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,ISBT KASHMIRI GATE,11,6,17
2,KASHMIRI GATE CHOWK,8,6,14
3,GHEWRA MORE,6,4,10
4,WAZIRABAD,12,5,17
5,BURARI CHOWK,8,5,13
6,NIRANKARI COLONY,4,4,8
7,ANAND VIHAR ISBT,7,4,11
8,BHALSWA CHOWK,5,5,10
9,MUKUND PUR CHOWK,8,4,12
10,TIKRI VILLAGE,5,4,9
11,LIBAS PUR BUS STAND,6,4,10
12,SHYAM LAL COLLEGE,6,4,10
13,5TH PUSTA USMANPUR,7,4,11
14,MUKARBA CHOWK,5,4,9
15,RML HOSPITAL,3,3,6
16,HOTEL BULBUL MUNDKA,4,3,7
17,METRO STATION INDERLOK,4,3,7
18,PUSTA NEW USMAN PUR,4,3,7
19,INDIRA KALYAN VIHAR RED LIGHT,4,3,7
20,"SEC-1,2 RED LIGHT",3,3,6
21,PREM BARI PULL,3,3,6
22,BUDHPUR GANDA NALA/HANUMAN MANDIR BUDHPUR,3,3,6
23,RAJDHANI PARK,3,3,6
24,JASOLA VIHAR,3,3,6
25,SIRASPUR,3,3,6
26,SHASTRI PARK/IT PARK,8,3,11
27,GOKALPURI,8,3,11
28,SEELAMPUR T POINT,6,3,9
