S_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,PUNJABI BAGH CHOWK,7,5,12
2,MAHIPALPUR FLYOVER,5,5,10
3,BHALSWA CHOWK,3,5,8
4,ITO/IP FLYOVER,3,5,8
5,LIBAS PUR BUS STAND,3,5,8
6,SARITA VIHAR METRO STATION,1,5,6
7,HANUMAN MANDIR,0,5,5
8,MUKUND PUR CHOWK,13,4,17
9,SHASTRI PARK/IT PARK,8,4,12
10,PEERA GARHI CHOWK,7,4,11
11,SWAROOP NAGAR,7,4,11
12,5TH PUSTA USMANPUR,6,4,10
13,METRO STATION MADIPUR,6,4,10
14,MUKARBA CHOWK,6,4,10
15,ISBT K GATE,5,4,9
16,MAJLIS PARK METRO STATION,5,4,9
17,RAJDHANI PARK,5,4,9
18,AZAD PUR CHOWK,4,4,8
19,PREM BARI PULL,4,4,8
20,CHIRAG DELHI FLYOVER,4,4,8
21,NARAINA,4,4,8
22,SHASTRI NAGAR METRO STN,4,4,8
23,RAJOURI GARDEN,4,4,8
24,MAYA PURI CHOWK,4,4,8
25,HYAAT HOTEL,4,4,8
26,KASHMIRI GATE CHOWK,3,4,7
27,AKSHARDHAM MANDIR,3,4,7
28,ASHRAM CHOWK,3,4,7
29,GOYALA DAIRY VILLAGE,3,4,7
30,GURUDWARA BANGLA SAHIB,3,4,7
31,INDIRA KALYAN VIHAR RED LIGHT,3,4,7
32,RAJGHAT,3,4,7
33,SHAKAR PUR CHUNGI,3,4,7
34,"SEC-1,2 RED LIGHT",3,4,7
35,BUS STAND JAGAT PURI,3,4,7
36,SURAJMAL METRO STATION,2,4,6
37,MUNDKA METRO STATION,2,4,6
38,NIGAM BODH GHAT,2,4,6
39,SINGHOLA VILLAGE,2,4,6
40,SINGHU BORDER,2,4,6
41,GHEWRA MORE,2,4,6
42,SHAMSHAN GHAT PUNJABI BAGH,2,4,6
43,SEELAMPUR T POINT,2,4,6
44,MOOL CHAND,2,4,6
