S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
1,ISBT KASHMIRI GATE,RING ROAD,RING ROAD,EXCHANGE HUB,8,9,17,0.529,VERY HIGH,0,0,1,0,1,1,0
2,KASHMIRI GATE CHOWK,BOULEVARD ROAD,OTHER,INTERSECTION,8,9,17,0.529,VERY HIGH,1,0,0,0,1,1,1
3,BHALSWA CHOWK,OUTER RING ROAD,OUTER RING ROAD,T-INTERSECTION,8,9,17,0.529,VERY HIGH,1,0,0,1,1,1,1
4,MUKUNDPUR CHOWK,OUTER RING ROAD,OUTER RING ROAD,ROAD STRETCH,16,8,24,0.333,VERY HIGH,0,0,0,0,0,0,0
5,LIBASPUR BUS STAND,GTK ROAD,GTK ROAD,BUS-STAND,10,8,18,0.444,VERY HIGH,0,0,0,0,0,0,0
6,GHEWRA MORE,ROHTAK ROAD,ROHTAK ROAD,ROAD STRETCH,5,8,13,0.615,VERY HIGH,1,0,0,0,1,1,1
7,5TH PUSTA USMAN PUR,PUSTA ROAD,PUSTA ROAD,ROAD STRETCH,11,7,18,0.389,VERY HIGH,0,0,0,0,0,0,0
8,MUKARBA CHOWK,GTK ROAD,GTK ROAD,MULTI-LEVEL INTERSECTION,9,7,16,0.438,VERY HIGH,1,1,0,1,1,1,1
9,MAHIPALPUR FLYOVER,NH-8,NATIONAL HIGHWAY,FLYOVER,5,7,12,0.583,VERY HIGH,1,0,0,0,1,0,1
10,RAJDHANI PARK,ROHTAK ROAD,ROHTAK ROAD,ROAD STRETCH,4,7,11,0.636,VERY HIGH,1,1,0,0,1,1,1
11,PREM BARI PULL,RING ROAD,RING ROAD,ROAD STRETCH,3,7,10,0.7,VERY HIGH,1,0,0,0,1,1,1
12,WAZIRABAD,OUTER RING ROAD,OUTER RING ROAD,ROAD STRETCH,16,6,22,0.273,VERY HIGH,0,1,0,0,1,1,0
13,NIRANKARI COLONY,OUTER RING ROAD,OUTER RING ROAD,ROAD STRETCH,11,6,17,0.353,VERY HIGH,0,1,0,0,1,1,0
14,ANAND VIHAR ISBT,ROAD NO.56,OTHER,EXCHANGE HUB,9,6,15,0.4,VERY HIGH,0,1,0,0,0,1,0
