Road_Name,Number_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
RING ROAD,22,156,91,247
OUTER RING ROAD,14,124,60,184
GTK ROAD,12,74,55,129
ROHTAK ROAD,9,47,44,91
GT ROAD,5,53,16,69
NH-8,3,22,12,34
NH-24,3,25,10,35
ANAND MAI MARG,3,21,10,31
NAJAFGARH ROAD,3,20,8,28
WAZIRABAD ROAD,3,42,4,46
ROAD NO.56,3,20,11,34
PUSTA ROAD,2,22,7,29
VIR BANDA BAIRAGI MARG,2,23,6,29
MEHRAULI BADARPUR ROAD,2,14,7,21
MATHURA ROAD,2,14,8,22
BKS MARG,2,8,7,15
ROAD NO 13A,2,11,7,18
AGRA CANAL ROAD,2,8,6,14
ROAD NO 57,2,11,7,18
VIKAS MARG,1,7,5,12
BAWANA ROAD,1,6,4,10
RAVIDAS MARG,1,6,3,9
BOULEVARD ROAD,1,12,9,21
CAPTAIN GAUD MARG,1,10,0,10
N. SUBHASH MARG,1,9,2,11
GOYLA DAIRY ROAD,1,4,5,9
ROAD NO.201,1,5,6,11
JOSEF BRIJ TITO MARG,1,12,3,15
OUTER CIRCLE CP,1,6,3,9
PANKHA ROAD,1,9,2,11
YAMUNA PUSTA ROAD,1,5,4,9
ROAD NO.51,1,8,5,13
RANI JHANSI ROAD,1,2,3,5
