S_No,Circle_Name,Fatal_Crashes,Simple_Crashes,Non_Injury_Crashes,Total_Crashes
1,Narela,91,208,6,305
2,Dwarka,34,240,3,277
3,Najafgarh,57,154,3,214
4,Bhajan Pura,39,168,2,209
5,Ashok Vihar,73,130,2,205
6,Madhu Vihar,46,135,3,184
7,Nangloi,54,118,4,176
8,Model Town,51,123,1,175
9,Delhi Cantt,37,124,1,162
10,Lajpat Nagar,35,100,6,141
11,Khajuri Khas,37,86,0,123
12,Mehrauli,23,95,4,122
13,Badarpur,33,87,2,122
14,Kotwali,40,67,1,108
15,Aman Vihar,34,63,3,100
16,Civil Lines,14,78,2,94
17,Kapashera,20,66,1,87
18,Kalkaji Circle,17,62,5,84
19,Karol Bagh,,69,,80
20,Gandhi Nagar,,64,,75
21,Kamla Market,,58,,74
22,Defence Colony,,64,,74
23,Mayur Vihar,,48,,74
24,Kalyan Puri,,60,,73
25,Hauz Khas,,56,,69
26,Nand Nagri,,41,,59
27,Chanakya Puri,,31,,39
28,Darya Ganj,,25,,34
29,IGI Airport,,20,,25
30,Bara Khamba Road,,10,,17
31,Samay Pur Badli,81,181,11,273
32,Paschim Vihar,67,146,1,214
33,Punjabi Bagh,57,120,0,177
34,Timarpur,48,125,2,175
35,Tilak Nagar,39,125,2,166
36,Rohini,38,124,4,166
37,Rajouri Garden,43,106,3,152
38,Shahdara,38,102,3,143
39,Vasant Vihar,29,102,2,133
40,Sarita Vihar,19,90,5,114
41,Sangam Vihar,16,85,3,104
42,Safdarjung Enclave,19,71,9,99
43,Sadar Bazar,13,53,1,67
44,New Friends Colony,11,49,5,65
45,Pahar Ganj,15,46,2,63
46,Parliament Street,13,43,1,57
47,Saket,5,25,0,30
48,Tilak Marg,6,21,0,27
49,Tughlak Road,4,12,3,19
50,Parliament House,2,7,0,9
