S_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,Ring Road,51,28,15,33,66,61
2,Outer Ring Road,40,20,12,25,52,45
3,GTK Road,34,21,14,21,48,42
4,Rohtak Road,33,16,,28,52,28
5,Najaf Garh Road,45,23,,33,51,33
6,Road No. 56,11,8,,,15,15
7,Grand Trunk Road,21,6,,13,24,13
8,Bawana Road,12,7,,11,18,11
9,Patel Road,8,8,,,12,14
10,Kanjhawala Road,10,3,,,15,8
11,Pusta Road,17,11,,,19,18
12,Wazirabad Road,18,8,,,22,12
13,Pankha Road,11,3,,,17,5
14,Mathura Road,11,8,,,12,
15,Vikas Marg,9,5,,,14,
16,NH-24,,,,,17,11
17,Rani Jhansi Road,7,1,,,,
18,SPM Marg,3,1,,,14,
19,Mehrauli Badarpur Road,12,13,,,,
20,201 No. Road,9,2,,,,
21,New Rohtak Road,10,1,,,,
22,Road No. 13A,5,4,,,,
23,Loni Road,2,1,,,,
24,Road No. 57,11,3,,,,
25,Mahipal Pur Road,7,1,,,,
