S_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,Ring Road,70,54,18,33,88,87
2,Outer Ring Road,64,46,24,24,88,70
3,GTK Road,27,23,12,13,39,36
4,Najaf Garh Road,20,17,6,12,26,29
5,Rohtak Road,23,8,8,9,31,17
6,Mathura Road,18,14,3,12,21,26
7,Pusta Road,18,10,2,9,20,19
8,NH-8,15,18,5,4,20,22
9,Wazirabad Road,18,14,6,3,24,17
10,201 No.Road,16,8,2,6,18,14
11,Bawana Road,15,8,4,4,19,12
12,NH-24,16,6,4,4,20,10
13,Mehrauli Badarpur Road,7,10,4,4,11,14
14,Grand Trunk Road,18,10,2,4,20,14
15,Kanjhawala Road,16,5,5,1,21,6
16,Road No 56,4,4,2,4,6,8
17,Vikas Marg,14,11,1,4,15,15
18,Bijwasan Road,7,4,2,3,9,7
19,Narela Road,5,4,3,2,8,6
20,Dhansa Road,1,1,4,1,5,2
21,Burari Road,4,5,1,3,5,8
22,Rani Jhansi Road,2,5,1,3,3,8
23,Captain Gaur Marg,2,0,1,3,3,3
24,Mehrauli Gurgaon Road,6,6,3,0,9,6
25,13A No Road,6,6,3,0,9,6
