District_Name,Road_Name,Fatal_Crashes,Total_Crashes,Fatal_Desc
Central,Ring Road,13,48,13
Central,Patel Road,7,27,7
Central,Rani Jhansi Road,6,15,6
Central,New Rohtak Road,4,27,5
Central,Vikas Marg,4,15,4
Central,Desh Bandu Gupta Road,3,13,3
Central,Jawahar Lal Nehru Rd,2,14,2
Central,DDU Marg,2,7,2
Central,Shankar Road,1,3,1
Central,Ajmal Khan Road,1,2,1
Dwarka,Najafgarh Road,16,79,16
Dwarka,Dhansa Road,9,19,9
Dwarka,201 No. Road,7,33,7
Dwarka,Jharoda Road,2,12,3
Dwarka,Chhawla Road,2,4,2
Dwarka,Najafgarh Nangloi Road,1,5,1
Dwarka,Ghuman Hera Marg,1,2,1
Dwarka,Old Gurgaon Road,1,1,1
Dwarka,Dabri-Nasirpur Road,0,4,0
Dwarka,Palam Dabri Road,0,3,0
East,NH-24 (now NH-9),16,50,16
East,Road No 56,11,35,11
East,Vikas Marg,6,40,6
East,Yamuna Pusta Road,5,11,5
East,Noida Road,4,15,4
East,Patpar Ganj Road,3,12,3
East,Road No 57,2,13,2
East,Narwana Road,2,10,2
East,Kotla Road,0,2,0
East,Khudi Ram Bose Marg,0,1,0
New Delhi,Mathura Road,3,7,3
New Delhi,Panchkuian Road,3,5,3
New Delhi,Firoz Shah Road,2,7,2
New Delhi,Baba Kharak Singh Marg,2,6,2
New Delhi,Barakhamba Road,2,3,2
New Delhi,Mother Teresa Road,2,2,2
New Delhi,Ashoka Road,1,7,1
New Delhi,Ridge Road,1,6,1
New Delhi,C-Hexagon,1,5,1
New Delhi,Bhairon Road,1,4,1
North,Outer Ring Road,31,95,31
North,Ring Road,14,48,14
North,SPM Marg,5,11,5
North,Rani Jhansi Road,3,8,3
North,Road No 40,3,5,3
North,Boulevard Road,2,13,2
North,Burari Road,2,11,2
North,Rajpur Road,2,9,2
North,Wazirabad Road,2,7,2
North,Netaji Subhash Marg,2,5,2
North East,Pusta Road,28,99,28
North East,Wazirabad Road,21,89,23
North East,Grant Trunk Road,17,77,19
North East,Loni Road,5,10,5
North East,Karawal Nagar Road,1,7,1
North East,Road No 66,1,6,1
North East,Mandoli Road,1,3,1
North East,Braham Puri Road,0,2,0
North East,100 Foota Road,0,2,0
