S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes,Road_Name
1,ISBT Kashmiri Gate,12,7,19,Ring Road
2,Mukarba Chowk,11,7,18,GTK Road
3,Libaspur Bus Stand,11,7,18,GTK Road
4,Kashmiri Gate Chowk Boulevard Road,12,6,18,Boulevard Road
5,Britannia Chowk,11,6,15,Ring Road
6,Burari Chowk,11,6,14,Outer Ring Road
7,Bhalswa Chowk,20,6,11,Outer Ring Road
8,Wazir Pur Depot,12,6,10,Ring Road
9,Round About Mori Gate,10,6,8,Hamilton Road
10,Gandhi Vihar Bus Stand,10,5,16,Outer Ring Road
11,Anand Vihar Isbt,10,5,,Road No.56
12,Okhla Mandi,10,5,,Captain Gaud Marg
13,SGT Nagar,10,5,,GTK Road
14,Akshardham Mandir,24,5,,NH-24
15,Shalimar Bagh,16,5,,Ring Road
16,Metro Station Haider Pur,16,5,,Outer Ring Road
17,Loni Road Crossing,14,5,,Wazirabad Road
18,Metro Station Madipur,14,5,,Rohtak Road
19,Raja Harishchander Hospital,14,5,,DSIIDC Narela Road
20,Shamshan Ghat Punjabi Bagh,13,5,,Ring Road
21,Haryana Maitri Bhawan,11,5,,Road No 43
22,Shastri Park/It Park,11,5,,G.T.Road
23,Rajouri Garden,11,5,,Ring Road
24,Swaroop Nagar,10,5,,GTK Road
25,Modi Mill Flyover,10,5,,Outer Ring Road
26,Punjabi Bagh Chowk,10,5,,Ring Road
27,Metro Station Shivaji Park,10,5,,Rohtak Road
28,Kings Way Camp Chowk,10,5,,Ring Road
29,Round About Paharganj,10,5,,Rani Jhansi Road
30,West Enclave Red Light,,5,,Outer Ring Road
31,Azadpur Sabzi Mandi,,4,9,GTK Road
32,Tilak Nagar Flyover,,4,9,Najafgarh Road
33,Nathu Colony Chowk Nand Nagri,,4,,Road No 68
34,Dabri Flyover,,4,,Pankha Road
35,Saraswati Vihar Bus Stand,13,4,,Outer Ring Road
36,District Center Janakpuri,13,4,,Najafgarh Road
37,Nangli Poona,13,4,,GTK Road
38,CNG Pump/Jain Mandir NH-1,,4,,GTK Road
39,Toll Plaza Badarpur,,4,,Mathura Road
40,Round About Seemapuri,,4,,Road No 68
41,Peeragarhi Chowk,,4,,Outer Ring Road
42,Khajoori Chowk,,4,,Wazirabad Road
43,Madhuban Chowk,,4,,Outer Ring Road
44,Udyog Nagar,,4,,Rohtak Road
45,Wazirabad,,4,,Outer Ring Road
46,Mukundpur Chowk,,4,,Outer Ring Road
47,Maya Puri Chowk,,4,,Ring Road
48,Shani Mandir Nh-1,,4,,GTK Road
49,Ber Sarai Flyover,,4,,Outer Ring Road
50,Sagarpur Bus Stand,,4,,Pankha Road
51,Kanhiya Nagar Metro Station,,4,,VIR Banda Bairagi Mr
52,Metro Station Welcome,,4,,G.T.Road
53,DTC Bus Depot Nand Nagri,,4,,Wazirabad Road
54,Sai Baba Mandir Nh-1,,4,,GTK Road
55,Lado Sarai Crossing,,4,,Mehrauli Badarpur Rd
56,Shaheen Bagh Road No-13a,,4,,Road No 13a
57,Tilak Pul Dabri,,4,,Pankha Road
58,Tikri Khurd Bus Stand,,4,,GTK Road
59,Kalkaji Mandir,,4,,Outer Ring Road
60,Rajghat,,4,,Ring Road
61,Deepali Chowk,,3,8,Outer Ring Road
62,Metro Station Paschim Vihar,,3,8,Rohtak Road
63,ITI Dheerpur,,3,,Outer Ring Road
64,Nigam Bodh Ghat,,3,,Ring Road
65,Metro Station Inderlok,,3,,VIR Banda Bairagi Mr
66,Keshopur T Point,,3,,Outer Ring Road
67,Mundka,,3,,Rohtak Road
68,Metro Station Ramesh Nagar,,3,,Najafgarh Road
69,RTR Flyover Vasant Vihar,,3,,Outer Ring Road
70,DSIIDC Red Light NH-1,,3,,GTK Road
71,Adarsh Nagar,,3,,GTK Road
72,ARSD College Ring Road,,3,,Ring Road
73,Sarai Kale Khan,,3,,Ring Road
74,Round About Okhla Estate,,3,,Anand Mai Marg
75,Anand Vihar Railway Flyover,,3,,Road No.56
76,Vijay Vihar Rohini,,3,,Rithala Road
77,Delhi Cantt Flyover,,3,,Jail Road
78,Shakarpur Red Light,,3,,Yamuna Pusta Road
79,Geeta Colony Flyover,,3,,Yamuna Pusta Road
80,Loha Mandi,,3,,Girdhari Lal Marg
81,Siraspur,,3,,GTK Road
82,Janak Puri East,,3,,Najafgarh Road
83,Mayur Vihar Extension,,3,,Noida Link Road
84,Pul Mithai Spm Marg,,3,,SPM Marg
85,Paper Market Gajipur,,3,,Paper Market Road
86,Goyla Village Najafgarh,,3,,Goyla Dairy Road
87,Near Haldi Ram Wazirpur,,3,,Ring Road
88,Surya Nagar Red Light,,3,,Road No.56
89,IG Indoor Stadium,,3,,Ring Road
90,Seelampur T Point,,3,,G.T.Road
91,Ashram Chowk,,,,Ring Road
92,Dhaula Kuan,,,,Ring Road
93,Azadpur Chowk,,,,GTK Road
94,Uttam Nagar,,,,Najafgarh Road
95,Shanti Van,,,,Ring Road
96,Subhash Nagar Metro Station,,,,Najafgarh Road
97,Rajoukari Flyover,,,,NH-8
98,Mool Chand,,,,Ring Road
