Circle_Name,Num_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
Ashok Vihar Circle,,,,
Badarpur Circle,1,2,4,6
Bhajan Pura Circle,3,41,9,50
Darya Ganj Circle,1,5,3,8
Delhi Cantt Circle,3,20,7,27
Gandhi Nagar Circle,1,2,3,5
Kalkaji Circle,2,11,8,19
Kalyan Puri Circle,1,1,3,4
Kamla Market Circle,1,13,2,15
Kapashera Circle,1,9,1,10
Khajuri Khas Circle,1,1,3,14
Kotwali Circle,6,39,27,66
Lajpat Nagar Circle,3,30,5,35
Madhu Vihar Circle,4,27,13,40
Mayur Vihar Circle,3,15,9,24
Model Town Circle,7,51,29,80
Najafgarh Circle,2,11,5,16
Nand Nagri Circle,3,17,12,29
Nangloi Circle,2,14,6,20
Narela Circle,,,,
Pahar Ganj Circle,,,,
Paschim Vihar Circle,,,,
Rajouri Garden Circle,,,,
Sadar Bazar Circle,,,,
Saket Circle,,,,
Sarita Vihar Circle,,,,
Tilak Nagar Circle,,,,
Vasant Vihar Circle,,,,
