S_No,Road_Name,Crash_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Ring Road,20,153,69,222
2,Outer Ring Road,17,123,64,187
3,GTK Road,14,89,55,144
4,Najafgarh Road,6,32,11,49
5,Rohtak Road,6,43,11,62
6,Wazirabad Road,5,24,11,35
7,NH-8,5,26,,31
8,Road No.56,4,14,,25
9,Pankha Road,4,18,,28
10,G.T. Road,4,41,,50
11,Yamuna Pusta Road,3,4,,10
12,Rani Jhansi Road,3,15,,20
13,Road No 68,3,5,,13
14,VIR Banda Bairagi Mr,3,13,,19
15,Mehrauli Badarpur RD,2,10,,12
16,Goyla Dairy Road,2,10,,10
17,DSIIDC Narela Road,2,10,,10
18,Captain Gaud Marg,2,,,
19,Hamilton Road,2,,,
20,Jail Road,2,,,
21,Boulevard Road,2,,,
22,Mathura Road,2,,,
23,Girdhari Lal Marg,2,,,
24,Najafgarh Dwarka RD,2,,,
25,NH-24,2,,,
26,Anand Mai Marg,2,,,
27,Outer Circle CP,2,,,
28,Paper Market Road,2,,,
29,Patparganj Road,1,,,
30,Rithala Road,1,,,
31,Road No 13A,1,,,
32,Road No 43,1,,,
33,SPM Marg,1,,,
34,Vikas Marg,1,,,
35,Noida Link Road,1,,,
