S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,ISBT K Gate,,,
2,Kashmiri Gate Chowk,,,
3,Anand Vihar ISBT,,,
4,Libas Pur Bus Stand,,,
5,Round About Mori Gate,,,
6,Bhalswa Chowk,,,
7,Mukarba Chowk,,,
8,Peera Garhi Chowk,,,
9,Okhla Mandi,,,
10,Britannia Chowk,,,
11,Metro Station Madipur,,,
12,Loni Road Crossing,,,
13,Nangli Poona,,,
14,Pul Mithai Spm Marg,,,
15,Round About Seemapuri,,,
16,Dabri Flyover,,,
17,Burari Chowk,,,
18,Nigam Bodh Ghat,,,
19,Anand Vihar Railway Flyover,,,
