S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Round About Mori Gate,,,
2,Libas Pur Bus Stand,4,4,8
3,ISBT K Gate,4,4,8
4,Britannia Chowk,3,4,7
5,Punjabi Bagh Chowk,3,4,7
6,Metro Station Haider Pur,1,4,5
7,Mukarba Chowk,5,3,8
8,Bhalswa Chowk,2,3,5
9,Deepali Chowk,2,3,5
10,District Center Janakpuri,2,3,5
11,Loni Road Crossing,2,3,5
12,Metro Station Shivaji Park,2,3,5
13,Wazir Pur Depot,1,3,4
14,Anand Vihar ISBT,1,3,4
15,Burari Chowk,1,3,4
16,Raja Harishchander Hospital,1,3,4
17,Azadpur Sabzi Mandi,1,3,4
18,DSIIDC Red Light,0,3,3
19,Nangli Poona,0,3,3
20,Pul Mithai Som Marg,0,3,3
21,Round About Paharganj,0,3,3
22,ITI Dheerpur,0,3,3
