S_No,Zone_Name,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Libaspur Bus Stand,4,7,11
2,ISBT K Gate,6,5,11
3,Round About Mori Gate,1,5,6
4,Swaroop Nagar,7,4,11
5,Mukarba Chowk,6,4,10
6,Anand Vihar ISBT,4,4,8
7,Round About Paharganj,4,4,8
8,Kashmiri Gate Chowk,3,4,7
9,Bhalswa Chowk,2,4,6
10,Shalimar Bagh,2,4,6
11,Shamshan Ghat Punjabi Bagh,1,4,5
12,Kings Way Camp Chowk,1,4,5
13,Burari Chowk,5,3,8
14,Kanhiya Nagar Metro STN,5,3,8
15,Modi Mill Flyover,4,3,7
16,SGT Nagar,4,3,7
17,Wazirabad,3,3,6
18,Lado Sarai Crossing,3,3,6
19,Wazirpur Depot,2,3,5
20,Kalkaji Mandir,2,3,5
21,Saraswati Vihar Bus Stand,2,3,5
22,Punjabi Bagh Chowk,2,3,5
23,Metro Station Ramesh Nagar,2,3,5
24,Metro Station Welcome,2,3,5
25,Raja Harishchander Hospital,2,3,5
26,Sarai Kale Khan,1,3,4
27,Nigam Bodh Ghat,1,3,4
28,Tilak Nagar Flyover,1,3,4
29,West Enclave Red Light,1,3,4
30,Okhla Mandi,1,3,4
31,Akshardham Mandir,0,3,3
32,Siraspur,0,3,3
33,Goyla Village Najafgarh,0,3,3
34,CNG Pump/Jain Mandir,0,3,3
35,Shastri Park/IT Park,9,2,11
36,Ashram Chowk,8,2,10
