Circle_Code,Compound,Court,Total_Challan,Amount
AVC,756,22630,23386,400500
BDP,159,31938,32097,99000
BGP,0,3864,3864,0
BKR,,10355,10690,179500
BNA,224,9300,9524,120000
BPC,82,16494,16576,46000
CHP,279,11776,12055,160000
CLC,438,23835,24273,240000
CRP,97,19945,20042,61500
CWL,0,9759,9759,0
DBC,205,21156,21361,106000
DCC,237,13413,13650,128500
DFC,435,23170,23605,234000
DGC,655,32668,33323,365000
DWC,528,57887,58415,277500
GNC,428,19618,20046,221000
HKC,569,36195,36764,304500
IGI,530,32022,32552,328500
JRP,410,5454,5864,227000
KBC,1081,32929,34010,570000
KIC,137,41445,41582,71500
KKC,496,36977,37473,268500
KMC,374,29100,29474,218000
KOT,427,38336,38763,242500
KPA,158,19283,19441,97000
KPC,780,45150,45930,410000
LNC,477,43176,43653,275500
MDV,181,13771,13952,96500
MGP,203,22787,22990,122000
MPC,,19400,19475,
MRC,75,36558,37051,
MTC,493,21330,21867,
MYV,537,18308,18418,
NFC,110,31732,31979,136000
NIC,247,60992,61221,309500
NNC,229,47957,48421,135000
NLC,464,12253,12360,56500
NRL,,29783,30227,418000
PBC,107,52238,52682,250000
PGC,201,17882,17983,111000
PNC,100,7878,7978,62500
PRV,176,10634,10810,97500
PSV,306,28117,28423,158500
PTC,915,61697,62612,487000
PTH,26,5511,5537,15000
PVC,336,11001,11337,179500
RGC,313,56156,56469,165500
RHN,229,23538,23767,123500
SBC,256,32546,32802,139000
SBP,86,4373,4459,51000
SDE,725,21547,22272,454500
SGV,310,29937,30247,312500
SHD,463,33904,34367,287000
SKT,270,15129,15399,146000
SLP,0,8182,8182,0
SMB,387,8035,8422,198500
SNC,276,2523,2799,156500
SPB,665,25562,26227,368500
SPC,18,8472,8490,12000
SRC,107,11969,12076,66000
SVR,264,38520,38784,146500
TMC,358,22151,22509,197000
TMP,57,23558,23615,31000
TNC,452,67244,67696,274000
TRC,214,11981,12195,117000
VKC,175,9063,9238,96500
VKV,137,11078,11215,75000
WEC,480,26688,27168,256500
