S_No,Zone_Name,Road_Name,Road_Category,Simple_Crashes,Fatal_Crashes,Total_Crashes,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Blackspot
1,ISBT Kashmiri Gate,Ring Road,RING ROAD,12,7,19,0.368,VERY HIGH,1,0,0,1,1
2,Mukarba Chowk,GTK Road,GTK ROAD,11,7,18,0.389,VERY HIGH,1,0,0,1,1
3,Libaspur Bus Stand,GTK Road,GTK ROAD,11,7,18,0.389,VERY HIGH,0,0,1,1,1
4,Kashmiri Gate Chowk Boulevard Road,Boulevard Road,BOULEVARD ROAD,12,6,18,0.333,VERY HIGH,1,0,0,1,1
5,Britannia Chowk,Ring Road,RING ROAD,11,6,15,0.4,VERY HIGH,1,0,0,1,1
6,Burari Chowk,Outer Ring Road,OUTER RING ROAD,11,6,14,0.429,VERY HIGH,1,0,0,1,1
7,Bhalswa Chowk,Outer Ring Road,OUTER RING ROAD,20,6,11,0.545,VERY HIGH,1,0,0,1,1
8,Wazir Pur Depot,Ring Road,RING ROAD,12,6,10,0.6,VERY HIGH,0,0,0,1,1
9,Round About Mori Gate,Hamilton Road,OTHER,10,6,8,0.75,VERY HIGH,1,0,0,1,1
10,Gandhi Vihar Bus Stand,Outer Ring Road,OUTER RING ROAD,10,5,16,0.312,HIGH,0,0,0,1,1
11,Anand Vihar Isbt,Road No.56,OTHER,10,5,0,0,HIGH,1,0,0,1,0
12,Okhla Mandi,Captain Gaud Marg,OTHER,10,5,0,0,HIGH,1,0,0,1,0
13,SGT Nagar,GTK Road,GTK ROAD,10,5,0,0,HIGH,0,0,0,1,0
14,Akshardham Mandir,NH-24,NATIONAL HIGHWAY,24,5,0,0,HIGH,0,1,0,1,0
15,Shalimar Bagh,Ring Road,RING ROAD,16,5,0,0,HIGH,0,0,0,1,0
16,Metro Station Haider Pur,Outer Ring Road,OUTER RING ROAD,16,5,0,0,HIGH,0,0,0,1,0
17,Loni Road Crossing,Wazirabad Road,WAZIRABAD ROAD,14,5,0,0,HIGH,1,0,0,1,0
18,Metro Station Madipur,Rohtak Road,ROHTAK ROAD,14,5,0,0,HIGH,1,0,0,1,0
19,Raja Harishchander Hospital,DSIIDC Narela Road,OTHER,14,5,0,0,HIGH,0,1,0,1,0
20,Shamshan Ghat Punjabi Bagh,Ring Road,RING ROAD,13,5,0,0,HIGH,0,1,0,1,0
21,Haryana Maitri Bhawan,Road No 43,OTHER,11,5,0,0,HIGH,0,0,0,1,0
22,Shastri Park/It Park,G.T.Road,GT ROAD,11,5,0,0,HIGH,0,1,1,1,0
23,Rajouri Garden,Ring Road,RING ROAD,11,5,0,0,HIGH,0,1,1,1,0
24,Swaroop Nagar,GTK Road,GTK ROAD,10,5,0,0,HIGH,0,0,1,1,0
