Metric,Value
Total Traffic Circles,50
Total Road Crash Prone Zones,107
Total Fatal Crashes,1432
Total Simple Crashes,4283
Total Non-Injury Crashes,119
Total Crashes,5834
Total Roads Analyzed,103
Pedestrian Crash Prone Zones,19
Two-Wheeler Crash Prone Zones,8
HTV Crash Prone Zones,6
Hit and Run Crash Prone Zones,22
Daytime Crash Prone Zones,9
Nighttime Crash Prone Zones,36
Top 10 Blackspots Fatal Crashes,63
Top 10 Blackspots Total Crashes,147
Top Circle - Narela (Fatal),91
Top Road - Ring Road (Fatal),122
Top Road - Ring Road (Total),396
Most Common Zone Type,Multi-Level Intersection (24)
Year,2023
